Unnamed: 0,premise,choice1,choice2,label,question
351034,pay fare.,wait for bus arrival.,bus arrives at the source location.,1,cause
1960652,get off the bus at your desired stop.,find an empty seat.sit down or stand if there isn't an empty seat.,pull the cord alerting the driver to stop.,1,cause
937881,board the bus when it arrives.,take a seat in the bus.,pull the cord when you want the bus to stop.,0,effect
740906,take your seat.,retrieve ticket from machine.,board the bus.,1,cause
615967,"while boarding, pay the driver the required fee or show a pass.",driver opens door.,step onto bus.,1,cause
18097209,press stop button.,exit bus at destination.,find out when bus leaves.,0,effect
825745,find seat on bus.,wait for bus.,get on the bus.,1,cause
993002,wait for bus stop destination.,look at bus schedule on time table.decide what time you need to arrive at bus stop.,board bus when it arrives .,1,cause
18148683,ring bell when bus approaches stop at destination.,get off bus when doors open.,wait at your bus stop.,0,effect
1846320,ride bus to destination.,ring the bell when you see your destination.,wait for your stop to be announced.,1,effect
16326886,wait for bus arrival.,get off at stop.,"find the bus stop nearest to your location.when you are ready to leave, go to the nearest bus stop and wait for the next bus.",1,cause
1443979,go down bus steps.exit bus.,wait until the bus arrives at the destination.,get on bus.,1,cause
1888106,get off.,have the knowledge about the bus schedule from time table.,pull the cord when you want the bus to stop.,1,cause
1577183,wait till my stop is approaching.,pay for your fare.,find a seat or stand on bus.,1,cause
1324034,walk off the bus.,go to the bus stop/bus stand.,go through doors and up the steps.,1,cause
17837982,sit down.,wait for correct stop.,go to bus station.,0,effect
377872,sit down and wait for your desired stop.,wait for bus arrival.,the bus arrives at the departure station.,1,cause
10530144,board bus when it arrives .,press stop button.,climb down stairs and exit bus.,1,effect
255342,head to the bus stop.,enter the bus.,wait.,1,effect
17446743,step onto arriving bus.,leave bus.,pay the toll.,0,effect
17432170,climb stairs into bus.,get off at stop.,buy ticket for your destination.,0,effect
1209323,exit at your destination when the bus stops.,pay fare when boarding bus.,when your bus comes climb in it.,1,cause
2037886,get off bus.,look at bus schedule on time table.decide what time you need to arrive at bus stop.,bus stops at your destination.,1,cause
908910,go through doors and up the steps.,bus stops at destination.,find a seat or stand on bus.,1,effect
1032400,wait for your stop.,go to the nearest bus stop.,when it arrives get on.,1,cause
1692599,find an empty seat.,wait for stop.,ring bell when bus approaches stop at destination.,0,effect
322109,go to the bus stop.,"when you see your bus approaching, signal to the driver to stop.",get onto the bus when it reaches the stop.,0,effect
1036689,wait for stop.,reach the designated bus stop before the bus reaches there to avoid missing the bus.,when the bus comes enter the bus.,1,cause
17991591,wait for bus to reach destination.,find seat on bus and sit.,get down from the bus.,0,cause
461413,"while boarding, pay the driver the required fee or show a pass.",find out when bus leaves.,"when bus arrives, step on board.",1,cause
17326958,when it arrives get on.,wait for bus to stop.,wait at bus stop for bus.,0,effect
1660333,find a seat if available or stand if necessary.,wait for your stop.,leave bus.,0,effect
1351166,get down from the bus.,ride.,board bus when it arrives.,1,cause
16705092,walk up the steps of the bus.,wait for bus to arrive.,pay the fare.,1,effect
17668027,board the bus.,depart when you arrive at your destination.,find a seat if available or stand if necessary.,0,effect
17701441,board bus when it arrives.,exit bus when arrive.,sit down.find an open seat.,0,effect
10538006,"when bus arrives, enter.climb bus steps.",signal for a stop where i want to get off.,leave bus.,1,effect
999987,ride.,find bus schedule information from time table.,get in bus.,1,cause
16881684,show bus driver your ticket.,enter bus.,ring bell when bus approaches stop at destination.,0,cause
40560,find the nearest bus stop.,give your fare to the bus driver.receive ticket.,wait a bus stop.,1,effect
1541220,get on the bus.,get off at your stop.,pull signal for stop.,0,effect
17759835,climb down stairs and exit bus.,go through doors and up the steps.,"about one block away from your stop, pull the \.",0,cause
17571229,get into the bus.,get off at stop.,ride to desired destination.,0,effect
16430962,wait at bus stop for bus.,wait for bus to reach destination.,go to the bus stop/bus stand.,1,cause
509204,pay for the ride.,wait there for the bus to arrive.,enter bus.,1,cause
1465369,exit bus at your destination.,find a seat.sit down.,board bus when bus arrives.,1,cause
2013089,get down once the destination is reached.,wait a bus stop.,go to door.,1,cause
1913381,exit bus when arrive.,ride.,"when the bus approaches your destination, press the button to signal a stop.",1,cause
16579546,bus reaches at departure station.,find a seat.,pay bus fare.,0,effect
17821664,find an empty seat.,wait for stop.,wait a bus stop.,0,effect
17488826,"when bus arrives, step on board.",head to the bus stop.,get off the bus.,1,effect
1952838,get off at stop.,choose a seat.,ring the bell when you see your destination.,1,cause
411191,wait for bus to arrive at stop.,go to bus station.,bus arrives at the source station.,1,cause
16895777,board bus.,pay the fare.,take available seat.,1,effect
645015,"when bus arrives, enter.climb bus steps.",pay for fare.,"stand, go to the exit door of bus.",0,effect
17383899,wait for bus to arrive at stop.,go through doors and up the steps.,"about one block away from your stop, pull the \.",0,cause
16670809,board bus when bus arrives.,scan bus pass.,look at bus schedule on time table.decide what time you need to arrive at bus stop.,0,effect
16531530,"when you see your bus approaching, signal to the driver to stop.",get to bus stop some time early.,step onto arriving bus.,0,cause
17745197,"once you arrive at destination, get off the bus.","when the bus approaches your destination, press the button to signal a stop.",walk up the steps of the bus.,1,cause
1789458,find a vacant seat (if possible).,watch for your destination.,go to bus door.,0,effect
1891881,exit at your destination when the bus stops.,say thank you to the driver.,alert the driver your stop is coming.,1,cause
1280317,get off bus.,walk to bus stop.,when the bus comes enter the bus.,1,cause
1395626,exit at your destination when the bus stops.,wait at your bus stop.,board the bus.,1,cause
1632126,wait for stop.,"find the bus stop nearest to your location.when you are ready to leave, go to the nearest bus stop and wait for the next bus.",take a seat in the bus.,1,cause
16639371,bus reaches at departure station.,ride.,depart when you arrive at your destination.,1,effect
17189509,board bus when it arrives.,ride to desired destination.,pay the fee.,0,effect
16866821,place change in receptor.,get on bus.,alert the driver your stop is coming.,0,cause
16215028,decide which bus.,have the knowledge about the bus schedule from time table.,head to the bus stop.,0,cause
1841426,ride to destination.,watch for your stop.wait until bus stops completely.,exit bus at your destination.,0,effect
1793323,find a seat if available or stand if necessary.,watch and listen for stop announcement.,"when the bus approaches your destination, press the button to signal a stop.",0,effect
17233754,step onto bus when arrives.,wait there for the bus to arrive.,wait for my stop.,1,effect
1954789,exit bus at your destination.,find seat on bus.,"when you are near your destination, press the stop button.",1,cause
955591,wait for bus stop destination.,pay fare.,get in bus.,1,cause
17487818,when it arrives get on.,reach the designated bus stop before the bus reaches there to avoid missing the bus.,watch your step when getting down from the bus.,1,effect
1777783,sit in bus.,wait for your stop to be announced.,exit bus.,0,effect
16678628,step onto bus.,place change in receptor.,find bus schedule information from time table.,0,effect
18073561,"when your stop approaches, pull cord.",exit at your destination when the bus stops.,insert money for ticket.,0,effect
17309455,step onto bus.,wait for your stop to be announced.,swipe bus pass.,0,effect
1287427,get off at stop.,go to the bus station.,get on bus.,1,cause
1511982,exit at your destination when the bus stops.,"find out how much the bus ride costs, either online or by calling bus company.",board bus when it arrives .,1,cause
1704672,watch for your stop.wait until bus stops completely.,swipe bus pass.,find a empty seat.,1,cause
413513,"once you arrive at destination, get off the bus.",pay your bus fare.,bus reaches at departure station.,1,cause
1764462,watch until you see your stop to get off.,walk to the bus stop.,sit in bus.,1,cause
1692421,sit in bus.,press stop button.,wait till my stop is approaching.,1,effect
17726129,depart when you arrive at your destination.,get into the bus.,reach the destination.,0,cause
1913179,exit bus when arrive.,ride on the bus.,"about one block away from your stop, pull the \.",1,cause
1951150,exit the bus at your desired location.,find a vacant seat (if possible).,pull cord at stop.,1,cause
17960161,find a seat.,go to the bus stop.,watch stops out window.,1,effect
1273828,get off bus when doors open.,signal the driver to stop when you see your bus coming.,when it arrives get on.,1,cause
17680291,get in bus.,get off.,find empty seat.sit down.,0,effect
16821726,"when bus arrives, enter.climb bus steps."," to pay the fare, you can either buy a bus pass or pay each time you ride the bus.",go to bus stop.,0,effect
17844412,sit down and wait for your desired stop.,sit in a seat until you see your destination.,get to bus stop some time early.,0,effect
16678889,step onto bus.,pay for your fare.,look at bus schedule on time table.decide what time you need to arrive at bus stop.,0,effect
17417495,board the bus when it arrives.,get off at stop.,buy bus pass on buss.,0,effect
17473879,step onto bus when arrives.,exit at your destination when the bus stops.,check to bus schedule in the time table to see when the bus is running.,0,effect
18108267,alert the driver your stop is coming.,climb down stairs and exit bus.,walk to the bus stop.,0,effect
16853622,pay bus fair.,walk up the steps of the bus.,go to door.,0,cause
16271031,wait for the bus to come to a complete halt before boarding it.,go to bus stop at designated time.,buy bus pass on buss.,0,cause
1409154,debark from bus.,wait for the bus.,board bus when it arrives .,1,cause
18041472,wait for bus stop destination.,wait until the bus arrives at the destination.,"when bus arrives , wait for doors to open before boarding.",0,effect
16567019,the bus arrives at the departure station.,find the bus stop.,swipe bus pass.,1,effect
17701421,board bus when it arrives.,exit bus when arrive.,find a seat or stand on bus.,0,effect
456974,drop change into money machine.,get a bus schedule by checking time table.,board the bus.,1,cause
1755110,wait for bus to stop.,go to bus stop.,find seat on bus and sit.,1,cause
1440849,get off bus .,watch until you see your stop to get off.,"when bus arrives, enter.climb bus steps.",1,cause
1400466,getting off the bus.,wait on the bench until the bus arrives.,board the bus.,1,cause
17165989,when it arrives get on.,pay fare when boarding bus.,ride.,1,effect
18113468,"about one block away from your stop, pull the \.",arrive at bus stop prior to bus's arrival.,go down bus steps.exit bus.,1,effect
1771895,find a seat.,wait until the bus arrives at the destination.,get off the bus.,0,effect
17701439,board bus when it arrives.,exit bus when arrive.,take a seat.,0,effect
18157887,ring bell when bus approaches stop at destination.,get off bus when doors open.,watch for your destination.,0,effect
16319404,wait.,go to bus stop at designated time.,get off bus at destination.,0,cause
1818505,wait until the bus arrives at the destination.,wait for the bus to come to a complete halt before boarding it.,ride to desired destination.,1,cause
16624382,the bus arrives at the departure station.,exit at your destination when the bus stops.,put exact change in money receiver.,0,effect
56477,"find the bus stop nearest to your location.when you are ready to leave, go to the nearest bus stop and wait for the next bus.",wait for bus arrival.,show bus driver your ticket.,0,effect
16901089,enter bus.,find empty seat to sit in.,pay the fee.,0,effect
16760901,when it arrives get on.,show bus driver your ticket.,arrive at bus stop prior to bus's arrival.,0,effect
17169123,board bus.,ride bus to destination.,purchase the ticket.,0,effect
16606356,bus arrives at the source station.,ride.,retrieve ticket from machine.,0,effect
473558,take the tickets.pay for the ride.,have the knowledge about the bus schedule from time table.,go through doors and up the steps.,1,cause
17797563,sit down.find an open seat.,wait for correct stop.,pay fee.,0,effect
18011658,wait for your stop.,pay attention for your stop.,pay the toll.,0,effect
18155729,"about one block away from your stop, pull the \.",exit bus at destination.,watch for your destination.,0,effect
676317,step onto arriving bus.," to pay the fare, you can either buy a bus pass or pay each time you ride the bus.",say thank you to the driver.,0,effect
1406207,get off bus .,wait for bus.,step onto bus.,1,cause
1990816,get off at your stop.,figure out the place you want to reach.,stand up and go to door.,1,cause
1513540,board bus when bus arrives.,get down from the bus.,reach the destination.,0,effect
1673609,find seat on bus and sit.,ride to destination.,get off bus at destination.,0,effect
17978716,watch stops out window.,find seat on bus.,bus stops at your destination.,0,cause
16495151,wait at bus stop.,walk to bus stop.,wait for my stop.,0,cause
17391082,go through doors and up the steps.,drop change into money machine.,get off bus at destination.,1,effect
2060335,"when the driver stops and opens the door, leave the bus.",sit down if possible.,bus has arrived on destination.,1,cause
17047328,when your bus comes climb in it.,wait for bus to arrive.,find a seat if available or stand if necessary.,1,effect
17297231,board the bus.,wait for bus to stop.,pay the toll.,0,effect
17207982,board bus when it arrives .,check bus schedule in time table.,wait for your stop.,1,effect
507448,pay the bus driver.,wait for bus.,walk up the steps of the bus.,1,cause
35669,go to bus station.,stand at the bus stop.,drop change into money machine.,0,effect
17187148,step onto bus.,wait for destination.,buy bus ticket.,0,effect
17989688,wait until the bus arrives at the destination.,find a seat.sit down.,get off bus when doors open.,0,cause
16545548,the bus arrives at the departure station.,step onto bus.,reach the designated bus stop before the bus reaches there to avoid missing the bus.,0,effect
1526157,get on the bus.,debark from bus.,go to bus door.,0,effect
549669,pay the driver.,walk to bus stop.,step onto arriving bus.,1,cause
546819,pay the fare to ride the bus.,"when you see your bus approaching, signal to the driver to stop.",get on bus.,1,cause
17586148,get onto the bus when it reaches the stop.,walk off the bus.,wait for the bus to arrive.,0,effect
10540867,board the bus when it arrives.,say thank you to the driver.,watch your step when getting down from the bus.,1,effect
17745315,"once you arrive at destination, get off the bus.",when the bus comes enter the bus.,signal for a stop where i want to get off.,0,cause
1949380,exit bus when arrive.,starting walking to seat on bus.sit in seat.,ring the bell when you see your destination.,1,cause
1919725,debark from bus.,ride on the bus.,"when your stop approaches, pull cord.",1,cause
37624,find the bus stop.,keep looking for your bus.,pay the bus driver.,0,effect
1827541,wait for bus to reach destination.,find the nearest bus stop.,ride to desired destination.,1,cause
16262809,wait at your bus stop.,arrive at bus stop prior to bus's arrival.,pay the bus driver.,0,cause
1267891,exit bus at your destination.,"thank the driver, possibly tip.",get on bus.,1,cause
794857,find a seat.sit down.,wait a bus stop.,get on the bus.,1,cause
1225920,climb down stairs and exit bus.,swipe bus pass.,enter bus.,1,cause
16572378,pay the fare to ride the bus.,the bus arrives at the departure station.,your destination place came.,0,cause
17168715,board bus.,wait to get to destination.,pay fee.,0,effect
1679583,take a seat.,ride to destination.,exit bus.,0,effect
810,get a bus schedule by checking time table.,decide which bus.,pay the toll.,0,effect
18189402,when your stop comes get up and go the exit door of bus.,pay the driver.,exit bus at your destination.,1,effect
418646,go down bus steps.exit bus.,take the tickets.pay for the ride.,bus arrives at the source location.,1,cause
1620142,sit in a seat until you see your destination.,keep looking for your bus.,sit down.find an open seat.,1,cause
16608818,bus arrives at the source location.,ride on the bus.,wait at bus stop.,0,effect
188873,go to bus stop at designated time.,wait at your bus stop.,sit down if possible.,0,effect
17646063,enter the bus.,get off at your stop.,wait for bus to reach your stop.,0,effect
1169460,get in bus.,watch for your destination.,"when your stop approaches, pull cord.",0,effect
16738128,"when the driver opens the door, board the bus.",show bus driver your ticket.,wait for the bus to arrive.,0,effect
17196601,step on bus.,pay the driver.,ride to desired destination.,1,effect
17802900,find a seat if available or stand if necessary.,sit patiently until the bus reaches your destination bus stop.,figure out the place you want to reach.,0,effect
1439078,get off the bus at your desired stop.,wait for bus to arrive at stop.,board bus when it arrives.,1,cause
1577370,ride to desired destination.,pay the fare.,take a seat in the bus.,1,cause
18125177,alert the driver your stop is coming.,exit bus.,wait for destination.,0,effect
2061132,get off at your stop.,sit on a seat.,bus stops at destination.,1,cause
1215577,getting off the bus.,get a ticket for the bus ride.,get onto the bus when it reaches the stop.,1,cause
17039698,step onto arriving bus.,sit down if possible.,wait for bus.,0,effect
466020,purchase the ticket.,check bus schedule in time table.,"when the driver opens the door, board the bus.",1,cause
16593039,the bus arrives at the departure station.,find a seat.sit down.,go to the nearest bus stop.,0,effect
18045105,watch for your stop.wait until bus stops completely.,enjoy the ride.,exit bus at destination.,0,cause
1742739,wait for your stop to be announced.,wait for bus arrival.,sit in bus.,1,cause
641871,board bus when it arrives.,take the tickets.pay for the ride.,stand up and go to door.,0,effect
1051951,wait for my stop.,arrive at bus stop prior to bus's arrival.,get in bus.,1,cause
17290680,ride bus to destination.,get into the bus.,ring the bell when you see your destination.,0,cause
224988,go to bus stop 5 minutes before bus arrives.go to your bus stop of choice.,wait a bus stop.,pay attention for your stop.,0,effect
1502455,walk off the bus.,starting walking to seat on bus.sit in seat.,get on bus.,1,cause
1181789,get off bus when doors open.,retrieve ticket from machine.,board bus when bus arrives.,1,cause
1158462,wait for bus to reach your stop.,driver opens door.,go through doors and up the steps.,1,cause
699734,find a seat.sit down.,pay bus fair.,enter the bus.,1,cause
1436339,exit at your destination when the bus stops.,pay attention for your stop.,board the bus when it arrives.,1,cause
1285883,leave bus.,arrive at bus stop prior to bus's arrival.,when your bus comes climb in it.,1,cause
723011,find seat on bus and sit.,pay the fee.,board the bus when it arrives.,1,cause
1336761,"once you arrive at destination, get off the bus.",sit in a seat until you see your destination.,get on the bus.,1,cause
16897307,get onto the bus when it reaches the stop.,take a seat.,swipe bus pass.,0,effect
392205,bus arrives at the source station.,starting walking to seat on bus.sit in seat.,signal by bell for stop.,0,effect
16494888,wait for the bus.,locate bus stop.,wait for stop.,0,cause
1270361,"once you arrive at destination, get off the bus.",choose the route you want to take.,board bus when bus arrives.,1,cause
364737,bus reaches at departure station.,pay the driver.,press stop button.,0,effect
17818461,find a seat.sit down.,wait for correct stop.,wait for bus arrival.,0,effect
1821178,wait for bus to reach your stop.,wait for the bus to arrive.,wait for your stop.,1,cause
17201128,step onto bus.,ride to destination.,decide which bus.,0,effect
16215387,find out what bus to take.,check the schedule of bus in time table.,board bus when it arrives.,0,cause
404112,bus arrives at the source location.,ride.,"when your stop approaches, pull cord.",0,effect
17773892,find a seat if available or stand if necessary.,wait to get to destination.,"while boarding, pay the driver the required fee or show a pass.",0,effect
18237192,go to door.,debark from bus.,find a seat if available or stand if necessary.,0,effect
1568661,enjoy the ride.,pay the driver.,take your seat.,1,cause
1932591,watch your step when getting down from the bus.,wait at bus stop.,"when your stop approaches, pull cord.",1,cause
1358395,"when the driver stops and opens the door, leave the bus.",wait for bus stop destination.,when your bus comes climb in it.,1,cause
231552,arrive at bus stop prior to bus's arrival.,wait at your bus stop.,"when the driver opens the door, board the bus.",0,effect
1725417,watch for your destination.,check the schedule of bus in time table.,choose a seat.,1,cause
17080067,when the bus comes enter the bus.,take a seat in the bus.,go to the nearest bus stop.,0,effect
937879,board the bus when it arrives.,take a seat in the bus.,pull the cord alerting the driver to stop.,0,effect
17927904,find seat on bus.,watch stops out window.,put exact change in money receiver.,0,effect
189193,go to bus stop at designated time.,wait at bus stop for bus.,sit down.find an open seat.,0,effect
1635773,wait to get to destination.,get to bus stop some time early.,sit down if possible.,1,cause
2061150,get off at your stop.,starting walking to seat on bus.sit in seat.,bus stops at your destination.,1,cause
1854231,bus has arrived on destination.,sit down.find an open seat.,"when the bus approaches your destination, press the button to signal a stop.",1,cause
16524285,"when you see your bus approaching, signal to the driver to stop.",reach the designated bus stop before the bus reaches there to avoid missing the bus.,get off bus when doors open.,0,cause
18123749,"when your stop approaches, pull cord.",enjoy the ride.,get off the bus.,1,effect
18214204,go to bus door.,climb down stairs and exit bus.,ride on the bus.,0,effect
1989032,climb down stairs and exit bus.,find out when bus leaves.,"stand, go to the exit door of bus.",1,cause
1737268,wait for bus to stop.,keep looking for your bus.,find a seat if available or stand if necessary.,1,cause
17990926,wait for bus to reach destination.,find a vacant seat (if possible).,getting off the bus.,0,cause
17451265,step on bus.,get off at your stop.,pay the fee.,0,effect
16521677,signal the driver to stop when you see your bus coming.,pay fare.,go to bus station.,1,cause
1142874,watch for your destination.,find the bus stop.,step onto bus when arrives.,1,cause
17548034,get on bus.,get off.,ride to destination.,0,effect
17894537,wait for your stop.,take available seat.,go to bus door.,0,cause
1708634,wait for bus to stop.,buy bus ticket.,starting walking to seat on bus.sit in seat.,1,cause
1437879,get down from the bus.,wait for bus to reach your stop.,board the bus when it arrives.,1,cause
17161857,sit down.,enter bus.,"thank the driver, possibly tip.",0,cause
384450,find an empty seat.,arrive at bus stop prior to bus's arrival.,bus arrives at the source location.,1,cause
1678045,sit on a seat.,wait for destination.,depart when you arrive at your destination.,0,effect
18072746,bus stops at destination.,pull signal for stop.,"thank the driver, possibly tip.",0,cause
601734,pay bus fair.,find the bus stop.,board the bus.,1,cause
10500048,board bus when bus arrives.,bus stops at your destination.,exit bus at your destination.,1,effect
1748505,watch stops out window.,arrive at bus stop prior to bus's arrival.,choose a seat.,1,cause
17258033,step onto bus.,wait to get to destination.,go to the nearest bus stop.,0,effect
18065921,alert the driver your stop is coming.,bus stops at destination.,wait for your stop to be announced.,0,effect
16838995,purchase the ticket.,climb stairs into bus.,bus stops at destination.,0,cause
18032901,ride to destination.,wait there for the bus to arrive.,wait for your stop to be announced.,1,effect
16828011,board bus when it arrives.,pay for the ride.,"when bus arrives , wait for doors to open before boarding.",0,effect
675397,step onto bus.,give money.,say thank you to the driver.,0,effect
16810952,step onto bus when arrives.,go to bus station.,place change in receptor.,1,effect
53255,go to the bus stop.,wait a bus stop.,insert money for ticket.,0,effect
610530,show bus driver your ticket.,arrive at bus stop prior to bus's arrival.,go through doors and up the steps.,1,cause
16953334,get into the bus.,find a seat on the bus.,pay bus fare.,0,effect
1652093,ride to desired destination.,"when bus arrives , wait for doors to open before boarding.",find a vacant seat (if possible).,1,cause
1088783,watch for your stop.wait until bus stops completely.,take the tickets.pay for the ride.,board the bus when it arrives.,1,cause
325151,walk up the steps of the bus.,decide which bus.,bus arrives at the source station.,1,cause
508108,pay the bus driver.,stand at the bus stop.,walk up the steps of the bus.,1,cause
471633,pay bus fair.,find bus schedule information from time table.,get on the bus.,1,cause
1642499,wait for destination.,walk to bus stop.,find a vacant seat (if possible).,1,cause
17399359,enter bus.,get off bus.,give money.,0,effect
1514233,enter the bus.,depart when you arrive at your destination.,your destination place came.,0,effect
16767242,get onto the bus when it reaches the stop.,buy bus ticket.,go to bus stop at designated time.,0,effect
1366947,climb down stairs and exit bus.,your destination place came.,get in bus.,1,cause
974750,ride to desired destination.,"while boarding, pay the driver the required fee or show a pass.",step onto bus when arrives.,1,cause
16279548,keep looking for your bus.,find the nearest bus stop.,take the tickets.pay for the ride.,0,cause
17959421,find empty seat to sit in.,go to a bus stop.,watch and listen for stop announcement.,1,effect
17876458,enjoy the ride.,take a seat.,depart when you arrive at your destination.,0,cause
17170191,board the bus.,wait for stop.,give your money to the driver.,0,effect
17272759,wait for stop.,board bus when bus arrives.,bus stops at destination.,0,cause
16834506,swipe bus pass.,your destination place came.,walk up the steps of the bus.,1,cause
136251,go to bus stop.,wait for the bus to arrive.,stand up and go to door.,0,effect
1007215,wait for correct stop.,wait at bus stop.,step onto bus.,1,cause
17935132,find a seat if available or stand if necessary.,find out when bus leaves.,watch until you see your stop to get off.,1,effect
16468676,stand at the bus stop.,head to the bus stop.,get on bus.,0,cause
2028778,exit at your destination when the bus stops.,"find out how much the bus ride costs, either online or by calling bus company.","stand, go to the exit door of bus.",1,cause
16575142,"while boarding, pay the driver the required fee or show a pass.",the bus arrives at the departure station.,pull the cord alerting the driver to stop.,0,cause
17857556,take a seat.,wait for stop.,reach the designated bus stop before the bus reaches there to avoid missing the bus.,0,effect
1885869,get off bus .,decide which bus.,pull signal for stop.,1,cause
1626202,ride on the bus.,"when you see your bus approaching, signal to the driver to stop.",sit down and wait for your desired stop.,1,cause
334750,board bus.,go to bus stop.,bus arrives at the source location.,1,cause
16212266,find out what bus to take.,check bus schedule in time table.,go to bus door.,0,cause
1837759,wait till my stop is approaching.,leave bus.,wait for bus to reach destination.,1,effect
1900704,get off.,go to bus stop.,pull the cord alerting the driver to stop.,1,cause
128904,locate bus stop.,wait at your bus stop.,walk off the bus.,0,effect
17628529,step onto arriving bus.,climb down stairs and exit bus.,wait for the bus.,0,effect
17350208,get on bus.,wait for bus to arrive at stop.,go to bus stop at designated time.,0,effect
1642776,wait for destination.,go to bus stop at designated time.,choose a seat.,1,cause
1650047,ride to destination.,go to bus stop.,sit down if possible.,1,cause
372783,find seat on bus.,pay bus fare.,bus arrives at the source station.,1,cause
1878361,climb down stairs and exit bus.,show bus driver your ticket.,"about one block away from your stop, pull the \.",1,cause
17477047,when your bus comes climb in it.,get a bus schedule by checking time table.,exit bus when arrive.,1,effect
17787247,find an empty seat.sit down or stand if there isn't an empty seat.,give your money to the driver.,wait for stop.,1,effect
1447275,get off bus at destination.,watch for your stop.wait until bus stops completely.,when your bus comes climb in it.,1,cause
18097180,press stop button.,getting off the bus.,check to bus schedule in the time table to see when the bus is running.,0,effect
1455763,exit the bus at your desired location.,sit down if possible.,step on bus.,1,cause
18108042,alert the driver your stop is coming.,watch your step when getting down from the bus.,go to the bus stop.,0,effect
17348932,"when bus arrives, step on board.",watch stops out window.,go to bus stop.,0,effect
18198153,stand up and go to exit door for departing the bus.,check bus schedule in time table.,exit bus.,1,effect
16619698,bus arrives at the source station.,wait at your bus stop.,wait for bus to stop.,1,effect
10532666,board bus when it arrives.,signal by bell for stop.,walk off the bus.,1,effect
17350367,board bus.,watch for your destination.,find the nearest bus stop.,0,effect
17711701,step onto arriving bus.,take available seat.,exit the bus at your desired location.,1,effect
17638232,go through doors and up the steps.,get off bus .,wait for bus to stop.,0,effect
17718310,"when bus arrives, enter.climb bus steps.",debark from bus.,find an empty seat.,0,effect
16207272,bus has arrived on destination.,ring bell when bus approaches stop at destination.,step onto bus.,0,cause
17149578,find a seat on the bus.,board bus.,press stop button.,0,cause
17671933,board bus when bus arrives.,get off the bus at your desired stop.,sit down and wait for your desired stop.,0,effect
17312085,"when the driver opens the door, board the bus.",watch and listen for stop announcement.,pay money or swipe pass.,0,effect
793129,sit down and wait for your desired stop.,stand at the bus stop.,"when bus arrives, step on board.",1,cause
17252908,enter the bus.,ride to destination.,get to bus stop some time early.,0,effect
1917470,exit at your destination when the bus stops.,ride on the bus.,signal by bell for stop.,1,cause
492460,pay fee.,wait for bus arrival.,climb stairs into bus.,1,cause
35823,go to bus station.,wait a bus stop.,get a ticket for the bus ride.,0,effect
547168,purchase the ticket.,"when you see your bus approaching, signal to the driver to stop.",when it arrives get on.,1,cause
1982778,get off bus .,"while boarding, pay the driver the required fee or show a pass.",go to bus door.,1,cause
1886323,exit bus when arrive.,get a bus schedule by checking time table.,alert the driver your stop is coming.,1,cause
16875423,insert money for ticket.,"when bus arrives, step on board.","when you are near your destination, press the stop button.",0,cause
16632989,the bus arrives at the departure station.,leave bus.,go to the nearest bus stop.,0,effect
756318,find a vacant seat (if possible).,figure out the place you want to reach.,enter the bus.,1,cause
1434147,get off.,watch for your destination.,step onto bus.,1,cause
1269520,get down once the destination is reached.,say thank you to the driver.,board bus.,1,cause
