Unnamed: 0,premise,choice1,choice2,label,question
875753,dig about 6 inches deep or as desired.dig in a circle all around the spot.,put tree into hole.,water regularly.,0,effect
13414694,dig a hole where you want to plant the tree.,put tree seedling into hole.,find gloves and digging tools.,0,effect
1647752,fill up the rest of the hole with dirt.,purchase tree.,put plant sapling in hole.,1,cause
575845,place sapling into hole.,"get a shovel,watering can and gloves.",dig hole in the ground.,1,cause
14081455,replace the dirt.,water the plant.,dig a hole.,1,cause
13392669,dig a hole large enough to place the tree into.,ensure the hole is not too deep and not too narrow.,"get shovel,gloves and watering can.",0,effect
10820002,cover the roots with surrounding dirt.,find spot to plant tree.,"dig a small hole, keep the displaced dirt accessible.",1,cause
14122771,cover hole with dirt.,dig hole at least 5 inches bigger then the root ball of tree.start digging.,turn water on.water tree.,0,cause
13983813,dig a hole in the ground.,pack dirt back in.,go home.,0,effect
1840271,choose type of tree.,get tree.,find a spot to plant tree.,0,effect
1298885,with small shovel dig hole.,water your tree.,refill hole with remaining dirt.,1,effect
13683261,put tree roots into hole.,make a hole.,water plant every day.,0,cause
14019366,dig hole for tree.,purchase a sapling and garden gloves.,fill the hole back with dirt.,1,effect
8606,go to store.,watering the dirt.,buy a tree sapling.,1,effect
10925535,hold it with one hand firmly and refill the soil.refill some more soil to fill the gap if any.,dig small hole in dirt.,get tree in pot.,0,cause
879369,dig a hole the same size as the container holding the tree.,insert the sapling in the ground.,water very well.,0,effect
1915431,choose type of tree.,putting dirt over the plant roots.,get tree sapling.,1,effect
10789933,fill hole with dirt and fertilizer.,digging in the ground.,get soil.,0,cause
14063488,dig hole big enough for seedling.,fill in any gaps in the hole with soil.,acquire sapling.,0,effect
10465276,put tree seedling into hole.,dig a hole where you want to plant tree.,purchase a tree to plant.,0,cause
10749465,cover hole with soil.,"find shovel , gloves and relevant tools.",dig hole big enough for tree to grow.,1,cause
13970396,with small shovel dig hole.,find a spot to plant.,put soil back in hole around tree.,1,effect
14217950,fill hole with dirt.,dig a hole of appropriate size.,press dirt firmly around root ball as hole is filled in.,0,cause
14432126,place seedling into hole.,cover sapling with dirt.,take tree sapling to place you want to plant it.,0,effect
13467462,dig a hole the same size as the container holding the tree.,place the roots of the tree into the hole you have dug.,go to garden center.,0,effect
14376744,put plant sapling in hole.,add shoveled dirt back into hole.,pick location.,0,effect
13815741,insert the sapling in the ground.,pat the dirt down with the shovel.,dig hole.,1,cause
10392795,"place sapling in hole, roots down.",make a hole.,find spot to plant tree.,0,cause
14657025,put tree seedling into hole.,hold the tree upright while filling the hole back up.,select a correct place in my backyard.,0,effect
14224936,cover the plant root loosely with soil.,dig the soil about two fingers deep.,pack down the dirt around the tree.,0,cause
14353041,plant tree sapling about 4 inches in the dirt.,take tree out of container.,fill up the rest of the hole with dirt.,1,effect
1762404,"place sapling in hole, roots down.",cover tree roots with dirt.,pack down the dirt around the tree.,0,effect
13977580,make a hole.,cover the hole with topsoil.,find place for tree.,0,effect
13501880,dig a hole.,insert tree sapling.,find spot to plant tree.,0,effect
13748959,place seedling into hole.,dig the soil about two fingers deep.,put a small amount of water in hole.,0,cause
1469715,cover the roots with dirt.,go to nursery.,put tree root/seed into hole.,1,cause
14028621,dig small hole in dirt.,pick out a sapling that you like.,refill hole with remaining dirt.,1,effect
13451523,dig hole big enough for seedling.,plant the tree.,"get shovel,gloves and watering can.",0,effect
13758625,put tree into hole.,dig a hole three times the save as the root ball.,water tree daily.,0,cause
429517,take tree sapling to place you want to plant it.,choose tree and spot to plant.,go to store.,1,cause
1148670,put loose dirt around roots.fill hole so that only top of tree is above ground.add additional dirt if necessary.,purchase tree.,use a shovel to dig a hole into the ground.,1,cause
13935671,use shovel to dig hole.,cover with dirt.,find a suitable area.,0,effect
13545634,"try to dig a hole twice as wide as the pot.also,dig hole deep enough for the roots.",place seedling in hole.,go outside to find spot for tree.,0,effect
14676671,plant the tree sapling in the soil.,make sure tree is standing straight and secure.,get tree in pot.,0,effect
1781720,put tree roots into hole.,put tools away.,cover with dirt.,1,effect
504334,take off gloves and put away with shovel.,go to store.,find the shovel and gloves.get the hose.,1,cause
640049,place sapling into the hole.,pick a spot in the yard for the tree.,dig a hole where you want the tree planted.,1,cause
11154871,make sure it is stable.,use shovel to dig hole.,buy sapling.,0,cause
14566653,cover the roots with dirt.,put water and fertilizer in hole.,insert tree sapling.,1,cause
1194068,cover with soil.,purchase a tree.,dig a hole deep and wide enough to accommodate the roots.,1,cause
892952,dig a hole deep enough to plant the tree roots.,put tree into hole.,water.,0,effect
1798559,make sure tree is standing straight and secure.,cover sapling root over with soil.,place plant in hole.,1,cause
1804470,make sure it is stable.,"get a shovel,watering can and gloves.",insert the sapling in the ground.,1,cause
8406422,take off gloves and put away with shovel.,cover the plant root loosely with soil.,find gloves and digging tools.,1,cause
11132989,hold the tree upright while filling the hole back up.,"get shovel,gloves and tree sapling.",use shovel to dig hole.,1,cause
1761226,put tree into hole in ground.,pat lightly.,replace displaced dirt.,1,effect
642936,place sapling in hole.,pick location.,dig a hole large enough to place the tree into.,1,cause
14004097,dig hole in the ground.,buy plant sapling.,put dirt back into hole.,1,effect
1139904,cover the roots with surrounding dirt.,buy tree sapling.,dig hole for tree.,1,cause
13846409,dig a hole where you want to plant the tree.,ensure the hole is not too deep and not too narrow.,hold it with one hand firmly and refill the soil.refill some more soil to fill the gap if any.,1,effect
14567079,cover the roots with dirt.,plant tree sapling about 4 inches in the dirt.,water the plant.,0,cause
14062874,dig hole big enough for seedling.,cover sapling with dirt.,buy tree sapling.,0,effect
904482,dig the soil about two fingers deep.,put tree into hole.,place a stabilizing stick if need.,0,effect
1482105,replace the dirt.,take tree sapling outside.,place tree sapling into hole.,1,cause
10790094,fill in the hole with the shovel.,dig the hole for the tree.,prepare soil.,0,cause
14575059,cover the plant root loosely with soil.,place sapling into the hole.,come back regularly to water sapling.,0,cause
541801,place tree in hole.,put on gloves and sunglasses.,dig hole.,1,cause
502189,put away shovel and watering can.,fill hole up with soil that you used to dig the hole.,"get shovel,gloves and other tools ready.",1,cause
1820319,choose a tree that you want to grow.,acquire sapling.,add small amount of water to base of tree.water tree daily and wait to grow.,0,effect
12892,go to store.,place mulch around bottom of sapling.,obtain seedling.,1,effect
11147498,make sure it is stable.,get gloves.get garden supplies.,dig hole in the ground.,1,cause
13670277,put sapling in hole.,dig a very deep hole with a shovel.,water and care for tree.,0,cause
957650,dig a hole large enough to place the tree into.,plant the tree sapling in the soil.,pat lightly.,0,effect
1262275,dig a hole in the yard.,fill in the hole with the shovel.,add small amount of water to base of tree.water tree daily and wait to grow.,0,effect
1140083,cover the roots with surrounding dirt.,purchase a tree.,dig a hole according to the size of the sapling.,1,cause
760979,place the tree inside the whole.,get tree in pot.,dig a hole the same size as the container holding the tree.,1,cause
14597243,cover with soil.,put tree root/seed into hole.,water it daily 2 times.water it lightly.,0,cause
969942,add shoveled dirt back into hole.,choose tree and spot to plant.,dig a hole three times the save as the root ball.,1,cause
13495326,dig a hole where you want to plant the tree.,find a spot to plant.,insert the sapling in the ground.,1,effect
1836667,choose tree and spot to plant.,purchase a tree to plant.,"get shovel,gloves and watering can.",0,effect
1337705,dig a hole deep and wide enough to accommodate the roots.,take tree out of container.,replace displaced dirt.,1,effect
14124498,cover sapling with dirt.,dig hole in ground.,water the plant.,0,cause
10913472,cover back up with dirt.,dig a hole where you want to plant tree.,buy a tree.,0,cause
1640384,cover roots with dirt.,buy a sapling from nursery.,place the tree sapling into the hole.,1,cause
13847269,dig hole for tree with shovel.,pack dirt back in.,ensure the hole is not too deep and not too narrow.,0,effect
1289819,dig about 6 inches deep or as desired.dig in a circle all around the spot.,put dirt back into hole.,water the tree every day.,0,effect
14109580,cover up hole.,use shovel to dig hole.,take some water.water the plant everyday.,0,cause
14028109,dig an appropriate sized hole for the tree.,buy plant sapling.,fill in with dirt.,1,effect
991548,refill hole with remaining dirt.,"get spade,gloves and other tools.","dig a small hole, keep the displaced dirt accessible.",1,cause
13400046,dig a hole three times the save as the root ball.,put the tree in the hole.,choose type of tree.,0,effect
14397274,place the tree inside the whole.,add shoveled dirt back into hole.,walk outside.,0,effect
10348610,place the tree at the top of the hole.,dig hole big enough for tree to grow.,go to garden center.,0,cause
13988547,dig a hole in the yard.,cover tree roots with dirt.,go to garden.,0,effect
10395335,put tree roots into hole.,use shovel to dig hole.,select location.,0,cause
14301793,place tree sapling into hole.,pack dirt back in.,get relevant tools like shovel.gloves etc.get a water hose.,0,effect
13427533,dig hole for tree.,put tree in hole.,get gloves and shovel.,0,effect
12875354,purchase the tree.,go to store.,water new sapling.,0,cause
1147307,put loose dirt around roots.fill hole so that only top of tree is above ground.add additional dirt if necessary.,get tree.,dig hole at least 5 inches bigger then the root ball of tree.start digging.,1,cause
13846872,use shovel to dig hole.,cover back up with dirt.,ensure the hole is not too deep and not too narrow.,0,effect
1331556,dig a hole of appropriate size.,take the tree out of its container.,put soil back in hole around tree.,1,effect
984509,replace the dirt.,"get watering can, gloves and spade.",dig an appropriate sized hole for the tree.,1,cause
6025118,"plant seedling, or bush.",add small amount of water to base of tree.water tree daily and wait to grow.,pack dirt back in.,1,effect
504840,put tools away.,if you like you can add a fertilizer.,get gloves.get garden supplies.,1,cause
10467069,put sapling in hole.,dig a hole where you want to plant tree.,buy plant sapling.,0,cause
1493369,put soil back in hole around tree.,take tree sapling outside.,place sapling into hole.,1,cause
10782776,cover hole with soil.,dig a hole deep enough to plant the tree roots.,go to nursery.,0,cause
1015718,cover with soil.,get shovel and gloves.,dig a hole deep and wide enough to accommodate the roots.,1,cause
14496240,put the tree in the hole.,acquire sapling.,put dirt back into hole.,1,effect
1924748,choose a tree that you want to grow.,"get shovel,gardening gloves and other required tools.",go buy a tree.,1,effect
957014,dig a hole deep enough to plant the tree roots.,put in the ground.,tamp down dirt.,0,effect
13571142,dig a hole where you want to plant the tree.,place seedling into hole.,go buy a tree.,0,effect
783619,place the tree sapling into the hole.,acquire sapling.,digging in the ground.,1,cause
1476350,fill hole with dirt.,get soil.,put tree roots into hole.,1,cause
10885461,replace the dirt.,dig hole in ground.,buy plant sapling.,0,cause
1040608,pack dirt back in.,preparing the dirt.,dig hole for tree with shovel.,1,cause
14069180,"try to dig a hole twice as wide as the pot.also,dig hole deep enough for the roots.",cover the tree with the dirt you took out of the hole.,buy plant.,0,effect
13895554,dig a hole in the yard.,go to garden center.,replace the dirt.,1,effect
10537847,place the tree sapling into the hole.,buy sapling.,dig a hole of appropriate size.,1,cause
10841514,fill hole with soil.,"try to dig a hole twice as wide as the pot.also,dig hole deep enough for the roots.",selecting the site to plant tree.,0,cause
1626636,fill hole with dirt around the tree.,get tree.,put tree into hole.,1,cause
12453279,gently insert it under the soil about 6 inches deep.,water it daily 2 times.water it lightly.,make sure it is stable.,1,effect
14513552,put tree into hole.,buy the tree.,cover tree roots with dirt.,1,effect
14080215,fill in dirt around the tree gently.,dig the soil about two fingers deep.,water plant every day.,0,cause
1447609,fill in space around the roots with dirt or potting soil.,"get watering can, gloves and spade.",place plant in hole.,1,cause
10883374,put soil back in hole around tree.,dig a hole deep enough to plant the tree roots.,take it home.,0,cause
14164890,cover roots with dirt.,dig a hole large enough to place the tree into.,water your tree.,0,cause
14597489,cover with soil.,place the tree inside the whole.,water and care for tree.,0,cause
773515,gently insert it under the soil about 6 inches deep.,purchase a sapling and garden gloves.,dig a hole with shovel.,1,cause
14416806,plant the tree.,cover the tree with the dirt you took out of the hole.,locate the spot to plant the tree.,0,effect
10897792,replace displaced dirt.,buy a small tree at a nursery.,make a hole.,1,cause
6055150,plant the tree.,water tree daily.,cover with soil.,1,effect
13586535,dig a hole where you want the tree planted.,place plant in hole.,buy sapling.,0,effect
14592865,fill the hole back with dirt.,put it in the hole.,water well.,0,cause
14663904,put in the ground.,cover back up with dirt.,make sure tree is standing straight and secure.,1,effect
807332,dig a hole.,put tree into hole in ground.,watering the dirt.,0,effect
1172996,fill hole with soil.,buy a tree.,dig a hole.,1,cause
13523806,dig a hole with shovel.,place the tree in the hole.,selecting the site to plant tree.,0,effect
14675090,place the roots of the tree into the hole you have dug.,make sure tree is standing straight and secure.,purchase the tree.,0,effect
10436625,put tree into hole.,dig hole in the ground.,go home and pick out a nice place to plant your tree.,0,cause
14454091,place sapling in hole.,pack dirt back in.,purchase seedling of tree.,0,effect
505968,take off gloves and put away with shovel.,walk outside.,"get watering can, gloves and spade.",1,cause
5960856,plant the sapling in ground.,water plant every day.,fill hole with soil.,1,effect
14657295,place tree sapling into hole.,hold the tree upright while filling the hole back up.,go home and pick out a nice place to plant your tree.,0,effect
14061423,dig a hole the same size as the container holding the tree.,buy some sapling of desired tree.,fill in space around the roots with dirt or potting soil.,1,effect
13606350,dig small hole in dirt.,go buy a tree.,place plant in hole.,1,effect
14161604,fill in any gaps in the hole with soil.,dig small hole in dirt.,put some water in the hole.water again.,0,cause
14359808,place sapling into the hole.,cover hole with soil.,put fertilizer in the hole.,0,effect
1109047,fill up the rest of the hole with dirt.,find spot to plant tree.,dig hole in ground.,1,cause
686232,plant the tree.,go to a field or a yard.,with small shovel dig hole.,1,cause
14174414,cover tree roots with dirt.,turn water on.water tree.,dig hole for tree with shovel.,1,cause
14596576,cover with soil.,put tree roots into hole.,fill watering can.water sapling.,0,cause
1674062,put tree roots into hole.,cover hole with soil.,water tree daily.,0,effect
13900344,make a hole.,fill hole with soil.,go to nursery.,0,effect
13457216,dig a very deep hole with a shovel.,find the shovel and gloves.get the hose.,place tree sapling into hole.,1,effect
14331346,put tree seedling into hole.,fill hole with dirt.,go to garden center.,0,effect
6020263,place the tree inside the whole.,water regularly.,hold it with one hand firmly and refill the soil.refill some more soil to fill the gap if any.,1,effect
1611601,hold it with one hand firmly and refill the soil.refill some more soil to fill the gap if any.,go buy a tree.,place sapling in hole.,1,cause
14233787,put soil back in hole around tree.,tamp down dirt.,dig hole.,1,cause
497025,"get a shovel,watering can and gloves.",take tree sapling outside.,put on gloves.,1,effect
758056,place sapling into hole.,purchase tree.,dig a hole into the ground.,1,cause
1246826,dig a hole into the ground.,cover hole with dirt.,water well.,0,effect
1757566,"plant seedling, or bush.",cover hole back up.,place a stabilizing stick if need.,0,effect
1513105,cover hole.,find spot to plant tree.,place tree sapling into hole.,1,cause
14513124,put tree into hole.,fill hole with dirt around the tree.,acquire sapling.,0,effect
10325736,plant tree sapling about 4 inches in the dirt.,use a shovel to dig a hole into the ground.,get shovel and gloves.,0,cause
1485804,cover back up with dirt.,take the tree out of its container.,insert tree sapling.,1,cause
566039,place the tree in the hole.,get gloves.get garden supplies.,make a hole.,1,cause
1635748,pack dirt back in.,get plant sapling.,put in the ground.,1,cause
13547715,dig a hole large enough to place the tree into.,select a spot where to plant a tree preferably in good exposure to sunlight.,"place sapling in hole, roots down.",1,effect
13838049,dig a hole in the yard.,refill hole with remaining dirt.,choose type of tree.,0,effect
10734003,put dirt back into hole.,dig a hole deep and wide enough to accommodate the roots.,put on gloves.,0,cause
1910764,choose a tree that you want to grow.,secure the boundary of the circle with fence of rounded river stones.,get tree seedloing.,1,effect
1646543,fill up the rest of the hole with dirt.,get plant sapling.,put tree seedling into hole.,1,cause
14396330,insert the sapling in the ground.,fill hole with dirt.,go outside.,0,effect
1443374,cover the roots with dirt.,"get a shovel,watering can and gloves.","plant seedling, or bush.",1,cause
13527618,dig a hole deep and wide enough to accommodate the roots.,"plant seedling, or bush.",find a spot to plant.,0,effect
14081497,replace the dirt.,fill watering can.water sapling.,dig hole in ground.,1,cause
1785588,gently insert it under the soil about 6 inches deep.,cover hole with soil.,put away shovel and watering can.,0,effect
1920880,choose a tree that you want to grow.,dig a hole according to the size of the sapling.,get tree seedloing.,1,effect
14292009,put sapling in hole.,get gloves and shovel.,put loose dirt around roots.fill hole so that only top of tree is above ground.add additional dirt if necessary.,1,effect
13510815,dig hole for tree.,put tree seedling into hole.,pick a spot in the yard for the tree.,0,effect
10785956,cover the hole with topsoil.,dig hole big enough for seedling.,go to nursery.,0,cause
14499490,gently insert it under the soil about 6 inches deep.,cover the hole with topsoil.,get tree seedloing.,0,effect
13882794,dig hole big enough for seedling.,cover hole.,"grab shovel,gloves and other gardening tools.",0,effect
10897838,cover the tree with the dirt you took out of the hole.,dig a hole of appropriate size.,get tree.,0,cause
13767769,place the roots of the tree into the hole you have dug.,dig a hole into the ground.,stake the tree.,0,cause
14452764,place sapling in hole.,fill in dirt around the tree gently.,buy a tree.,0,effect
14044083,digging in the ground.,cover back up with dirt.,get the tree and take it out into the yard.,0,effect
1381291,hold the tree upright while filling the hole back up.,go to garden.,dig a hole of appropriate size.,1,cause
5991798,place seedling in hole.,water the tree generously.,cover with dirt.,1,effect
13995754,dig a hole where you want to plant the tree.,cover with soil.,purchase the tree.,0,effect
848238,dig a hole with shovel.,place the roots of the tree into the hole you have dug.,water well.,0,effect
634814,put sapling in hole.,select a correct place in my backyard.,dig a hole in the yard.,1,cause
13639869,dig a hole the same size as the container holding the tree.,place the tree at the top of the hole.,purchase tree.,0,effect
14588274,fill hole with dirt around the tree.,place seedling in hole.,add water.,0,cause
1508192,cover the tree with the dirt you took out of the hole.,find a location to plant tree.,plant the sapling in ground.,1,cause
1165108,cover hole with dirt.,buy tree sapling.,dig hole for tree with shovel.,1,cause
1369125,dig hole big enough for tree to grow.,fill in the hole with the shovel.,put tools away.,0,effect
10798168,cover the roots with surrounding dirt.,take tree sapling outside.,"try to dig a hole twice as wide as the pot.also,dig hole deep enough for the roots.",1,cause
8379530,dig hole for tree.,put a small amount of water in hole.,hold the tree upright while filling the hole back up.,1,effect
1301475,dig a hole according to the size of the sapling.,cover the roots with dirt.,come back regularly to water sapling.,0,effect
13623154,digging in the ground.,purchase the tree.,put the tree in the hole.,1,effect
1823403,choose type of tree.,get tree sapling you want.,put on gloves.,0,effect
13598585,dig a hole into the ground.,put sapling in hole.,purchase a tree.,0,effect
14446189,"place sapling in hole, roots down.",add shoveled dirt back into hole.,buy a sapling from nursery.,0,effect
10410204,put it in the hole.,dig a hole.,select a correct place in my backyard.,0,cause
1372156,dig a hole in the yard.,put away shovel and watering can.,fill in space around the roots with dirt or potting soil.,1,effect
14435929,place tree in hole.,fill hole up with soil that you used to dig the hole.,buy a sapling from nursery.,0,effect
5988651,put tree in hole.,add water.,fill in with dirt.,1,effect
13358946,put on gloves and sunglasses.,get relevant tools like shovel.gloves etc.get a water hose.,water tree.,0,cause
1909097,choose type of tree.,add water.,get the tree and take it out into the yard.,1,effect
1475796,replace displaced dirt.,preparing the dirt.,place the roots of the tree into the hole you have dug.,1,cause
13887409,dig a hole deep enough to plant the tree roots.,put dirt back into hole.,get gloves and shovel.,0,effect
1194689,cover with soil.,buy or get a plant sapling .,make a hole.,1,cause
14639798,fill the hole back with dirt.,place tree in hole.,firmly but gently pack down around roots.,0,cause
14132940,fill hole back in with dirt.,dig hole big enough for tree to grow.,pour some water over the covered root.,0,cause
10292797,plant the tree sapling in the soil.,dig a hole where you want to plant the tree.,choose a tree that you want to grow.,0,cause
755542,plant the tree sapling in the soil.,get tree in pot.,dig a hole three times the save as the root ball.,1,cause
10836592,cover hole with dirt.,use a shovel to dig a hole into the ground.,selecting the site to plant tree.,0,cause
71913,go to garden center.,go home and pick out a nice place to plant your tree.,buy or get a plant sapling .,1,effect
12889920,buy plant sapling.,go to garden center.,dig hole for tree with shovel.,0,cause
12450396,put tree into hole in ground.,fill watering can.water sapling.,make sure tree is standing straight and secure.,1,effect
13971430,dig a hole according to the size of the sapling.,fill up the rest of the hole with dirt.,find spot to plant tree.,0,effect
1911528,choose tree and spot to plant.,cover hole with soil.,purchase the tree.,1,effect
14181064,refill hole with remaining dirt.,dig a hole the same size as the container holding the tree.,place a stabilizing stick if need.,0,cause
13469450,make a hole.,go to garden center.,put tree seedling into hole.,1,effect
971443,cover hole back up.,choose tree and spot to plant.,dig hole big enough for tree to grow.,1,cause
14524253,fill hole up with soil that you used to dig the hole.,water the soil.,plant the tree sapling in the soil.,1,cause
14688807,pick out a sapling that you like.,choose tree and spot to plant.,put on gloves.,0,cause
5960612,plant the sapling in ground.,water the soil.,cover hole back up.,1,effect
10945637,fill the hole back with dirt.,dig a hole deep and wide enough to accommodate the roots.,purchase tree.,0,cause
14323779,place seedling into hole.,cover with soil.,get gloves and shovel.,0,effect
6012532,plant the tree sapling in the soil.,water the tree.,fill in dirt around the tree gently.,1,effect
10761196,cover the plant root loosely with soil.,dig hole in the ground.,find the shovel and gloves.get the hose.,0,cause
1837940,choose type of tree.,get shovel and gloves.,get tree in pot.,1,effect
1711608,plant the tree sapling in the soil.,cover with dirt.,fill watering can.water sapling.,0,effect
1217642,dig a hole three times the save as the root ball.,fill in dirt around the tree gently.,fill watering can.water sapling.,0,effect
8827,go to store.,water the tree every day.,get a tree.,1,effect
14331674,put sapling in hole.,put soil back in hole around tree.,go to garden center.,0,effect
537956,put tree root/seed into hole.,choose tree and spot to plant.,dig a hole into the ground.,1,cause
14426459,place seedling in hole.,cover hole back up.,take it home.,0,effect
1525208,hold it with one hand firmly and refill the soil.refill some more soil to fill the gap if any.,go outside.,place the tree in the hole.,1,cause
13394627,"dig a small hole, keep the displaced dirt accessible.",ensure the hole is not too deep and not too narrow.,get the tree and take it out into the yard.,0,effect
1558893,replace displaced dirt.,transport it home.,put tree seedling into hole.,1,cause
14315285,place the tree inside the whole.,fill the hole back with dirt.,"get a shovel,watering can and gloves.",0,effect
1342974,dig a hole three times the save as the root ball.,score roots to ensure good root growth.,cover with dirt.,1,effect
14448316,put in the ground.,cover sapling root over with soil.,buy a small tree at a nursery.,0,effect
1263903,dig a hole in the yard.,fill in with dirt.,water tree daily.,0,effect
10144,go to garden center.,watering the dirt.,buy a tree.,1,effect
1813873,put plant sapling in hole.,make sure it is stable.,put some water in the hole.water again.,0,effect
13803649,put tree seedling into hole.,pat gently to secure sapling.,dig hole for tree with shovel.,1,cause
13408785,dig a hole into the ground.,plant tree sapling about 4 inches in the dirt.,put on gloves.,0,effect
1575045,fill hole with dirt and fertilizer.,get tree in pot.,put tree into hole in ground.,1,cause
13515899,dig hole for tree with shovel.,go outside.,plant tree sapling about 4 inches in the dirt.,1,effect
14003398,dig hole in the ground.,cover hole with soil.,get baby tree to plant.,0,effect
10757784,cover the roots with dirt.,dig a hole into the ground.,get shovel and gloves.,0,cause
8404660,put tools away.,"get spade,gloves and other tools.",fill hole with dirt and fertilizer.,0,cause
13674471,place the roots of the tree into the hole you have dug.,dig a hole deep enough to plant the tree roots.,water the tree.,0,cause
14320588,gently insert it under the soil about 6 inches deep.,fill in dirt around the tree gently.,find gloves and digging tools.,0,effect
13966976,dig a hole the same size as the container holding the tree.,fill in any gaps in the hole with soil.,go outside to find spot for tree.,0,effect
13567210,dig hole big enough for seedling.,insert tree sapling.,transport it home.,0,effect
14408200,place seedling into hole.,put loose dirt around roots.fill hole so that only top of tree is above ground.add additional dirt if necessary.,go to a field or a yard.,0,effect
14365511,place tree in hole.,walk outside.,fill the hole back with dirt.,1,effect
10386804,plant the sapling in ground.,dig a hole the same size as the container holding the tree.,go outside.,0,cause
10780925,fill in the hole with the shovel.,dig the hole for the tree.,go to store.,0,cause
1558809,replace displaced dirt.,go home.,place plant in hole.,1,cause
14318005,"plant seedling, or bush.","get shovel,gloves and tree sapling.",cover tree roots with dirt.,1,effect
13614739,dig a hole with shovel.,plant the sapling in ground.,get a tree.,0,effect
13675468,"place sapling in hole, roots down.",dig hole for tree with shovel.,put some water in the hole.water again.,0,cause
11148171,make sure it is stable.,dig a hole according to the size of the sapling.,get relevant tools like shovel.gloves etc.get a water hose.,0,cause
13741352,gently insert it under the soil about 6 inches deep.,dig a hole where you want to plant the tree.,water soil.,0,cause
13950356,dig a hole in the yard.,find a location to plant tree.,cover hole with dirt.,1,effect
571043,plant tree sapling about 4 inches in the dirt.,"get shovel,gloves and watering can.",dig hole big enough for tree to grow.,1,cause
630998,place tree in hole.,go to a field or a yard.,"dig a small hole, keep the displaced dirt accessible.",1,cause
975508,fill in with dirt.,choose tree and spot to plant.,dig hole for tree with shovel.,1,cause
1547792,fill up the rest of the hole with dirt.,choose a spot to plant the tree.,plant the sapling in ground.,1,cause
14623135,put dirt back into hole.,plant tree sapling about 4 inches in the dirt.,stake the tree.,0,cause
13809412,put tree in hole.,"dig a small hole, keep the displaced dirt accessible.",flatten soil with shovel.,0,cause
1606574,cover sapling with dirt.,get tree sapling.,"plant seedling, or bush.",1,cause
1543276,cover roots with dirt.,determine where to plant it.,put the tree in the hole.,1,cause
13429147,dig a hole into the ground.,place the roots of the tree into the hole you have dug.,"get spade,gloves and other tools.",0,effect
6078183,gently insert it under the soil about 6 inches deep.,pat lightly.,cover roots with dirt.,1,effect
