,premise,choice1,choice2,label,question
39,turn the car on.,enter grocery store.,make a list of needed items.,0,effect
40,check your list at each aisle to ensure you haven't missed anything.,make a grocery list.,turn on the car.,0,cause
41,check whether the list is complete(all things on list are purchased).,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,turn the car on.,0,cause
42,cross check the purchased items with your list.,make list.,turn on the car.,0,cause
43,cross them off your list(check if all items on list are purchased).,make a grocery list.,turn on the car.,0,cause
44,check whether the list is complete(all things on list are purchased).,make a list of grocery required.,turn the car on.,0,cause
45,make list.,check whether the list is complete(all things on list are purchased).,turn on the car.,0,effect
46,make a list.,check whether the list is complete(all things on list are purchased).,turn the car on.,0,effect
47,make list.,check your list at each aisle to ensure you haven't missed anything.,turn the car on.,0,effect
48,make list of needed items.,check whether the list is complete(all things on list are purchased).,turn the car on.,0,effect
49,make a list.,cross check the purchased items with your list.,turn on the car.,0,effect
50,walk out of store.put groceries in car.,make a list of what you need.,turn the car on.,1,cause
51,go back to car.load groceries in trunk.,make a list of what is needed.,turn the car on.,1,cause
52,push cart back to car.put groceries in trunk.,make a list.,turn the car on.,1,cause
53,walk out of store.put groceries in car.,write list.,turn the car on.,1,cause
54,take groceries to your car and load them up.,prepare grocery list.,turn the car on.,1,cause
55,turn on the car.,walk out to the car.put the items in the car.,make a list of groceries needed.,0,effect
56,turn the car on.,push cart back to car.put groceries in trunk.,make grocery list.,0,effect
57,turn the car on.,go back to the car.put the bags in the car.,make a list.,0,effect
58,turn on the car.,walk to the car with my groceries.unload the groceries into the backseat of my car.,make list of needed items.,0,effect
59,turn the car on.,put bags in car.,review what you have at home and make a list of what you need.,0,effect
60,take the list of items to purchase you made to store.,write list.,get tote bag.,0,cause
61,carry the list of items to store.,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,bring reusable grocery bags.,0,cause
62,carry the list of items to store.,look in the fridge.make a list.,get tote bag.,0,cause
63,take the list of items to purchase you made to store.,make grocery list.,get tote bag.,0,cause
64,take list to store.,make a grocery list of items to buy.,bring reusable grocery bags.,0,cause
65,prepare grocery list.,get tote bag.,take list to store.,1,effect
66,make a grocery list.,bring reusable grocery bags.,take list to store.,1,effect
67,review what you have at home and make a list of what you need.,get tote bag.,take list to store.,1,effect
68,look in the fridge.make a list.,bring reusable grocery bags.,take the list of items to purchase you made to store.,1,effect
69,make a list of what you need.,bring reusable grocery bags.,take list to store.,1,effect
70,take out the shopping list from the car.,bring reusable grocery bags.,create list of things to buy.,1,cause
71,take out the shopping list from the car.,bring reusable grocery bags.,write list.,1,cause
72,take out the shopping list from the car.,bring reusable grocery bags.,look in the fridge.make a list.,1,cause
73,take out the shopping list from the car.,get tote bag.,look in the fridge.make a list.,1,cause
74,take out the shopping list from the car.,bring reusable grocery bags.,inventory your cupboards.make a list of what you need.,1,cause
75,make a list.,take out the shopping list from the car.,bring reusable grocery bags.,0,effect
76,make a grocery list.,take out the shopping list from the car.,bring reusable grocery bags.,0,effect
77,make a grocery list.,take out the shopping list from the car.,get tote bag.,0,effect
78,making grocery list.,take out the shopping list from the car.,get tote bag.,0,effect
80,cross check the purchased items with your list.,review what you have at home and make a list of what you need.,bring reusable grocery bags.,0,cause
81,check whether the list is complete(all things on list are purchased).,make a list of needed items.,bring reusable grocery bags.,0,cause
82,check whether the list is complete(all things on list are purchased).,make a list of groceries needed.,bring reusable grocery bags.,0,cause
83,check whether the list is complete(all things on list are purchased).,make a grocery list.,bring reusable grocery bags.,0,cause
84,cross check the purchased items with your list.,check existing stock.make a list of needed items.,bring reusable grocery bags.,0,cause
85,make a list of what is needed.,check whether the list is complete(all things on list are purchased).,get tote bag.,0,effect
86,make a list.,check whether the list is complete(all things on list are purchased).,get tote bag.,0,effect
87,make list.,cross check the purchased items with your list.,get tote bag.,0,effect
88,prepare grocery list.,check whether the list is complete(all things on list are purchased).,bring reusable grocery bags.,0,effect
89,make grocery list based off of menu.,check whether the list is complete(all things on list are purchased).,get tote bag.,0,effect
90,bagger places in cart.,make a shopping list based on the menu and items you need.,get tote bag.,1,cause
91,place bags of groceries into cart.,make list of needed items.,get tote bag.,1,cause
92,place bags of groceries into cart.,make a list of grocery required.,get tote bag.,1,cause
93,put bags in cart.,make a grocery list of items to buy.,bring reusable grocery bags.,1,cause
94,bagger places in cart.,make a list of grocery required.,bring reusable grocery bags.,1,cause
95,bring reusable grocery bags.,bagger places in cart.,make a list of what you need.,0,effect
96,bring reusable grocery bags.,bagger places in cart.,prepare grocery list.,0,effect
97,get tote bag.,put bags in cart.,make a grocery list.,0,effect
98,bring reusable grocery bags.,place bags of groceries into cart.,make a list of things needed before leaving home.,0,effect
99,bring reusable grocery bags.,put the bagged items in the cart.,make list of needed items.,0,effect
100,carry the list of items to store.,make grocery list.,get in car.,0,cause
101,take list to store.,make a grocery list.,get in the car.,0,cause
102,take list to store.,make a shopping list based on the menu and items you need.,get in the car.,0,cause
103,take the list of items to purchase you made to store.,make a grocery list.,get in car.,0,cause
104,carry the list of items to store.,make a grocery list.,get in car.,0,cause
105,making grocery list.,carry the list of items to store.,get in car.,0,effect
106,make grocery list based off of menu.,carry the list of items to store.,get into car.,0,effect
107,make a list of needed items.,carry the list of items to store.,get into car.,0,effect
108,make a list.,take list to store.,get in the car.,0,effect
109,make grocery list.,take the list of items to purchase you made to store.,get inside the car.,0,effect
110,drive to store.,make grocery list.,get into my car.,1,cause
111,drive to grocery store.,make grocery list based off of menu.,get in car.,1,cause
112,go to the store by driving your own vehicle.,make a shopping list based on the menu and items you need.,get inside the car.,1,cause
113,drive to nearest grocery store.,make a list.,get inside the car.,1,cause
114,drive to the nearby store.,make a list.,get into car.,1,cause
115,get into my car.,make a trip to the store by car.,make a shopping list based on the menu and items you need.,0,effect
116,get in car.,drive to store.,look in the fridge.make a list.,0,effect
117,get into my car.,drive to store.,check existing stock.make a list of needed items.,0,effect
118,get into my car.,find a grocery nearby.go to grocery by driving.,make a list of what is needed.,0,effect
119,get inside the car.,go to grocery store by car.,list out the things you want to buy.,0,effect
120,find parking spot.park car.,write list.,get into car.,1,cause
121,park the car.,make a list of what you need.,get inside the car.,1,cause
122,get out of car and move towards grocery store.,make a list of items you need at the grocery.,get into my car.,1,cause
123,get out of car and move towards grocery store.,make a grocery list of items to buy.,get into car.,1,cause
124,get out of car and move towards grocery store.,make grocery list based off of menu.,get into car.,1,cause
125,get into car.,park.,make grocery list.,0,effect
126,get in car.,park the car.,make a shopping list based on the menu and items you need.,0,effect
127,get into my car.,park your car.,make a list.,0,effect
128,get in the car.,park car.,make a list of groceries needed.,0,effect
129,get in car.,park.,list out the things you want to buy.,0,effect
130,enter store.,make a list of items you need at the grocery.,get in car.,1,cause
131,enter grocery store.,make a list of needed items.,get in the car.,1,cause
132,walk into store.,review what you have at home and make a list of what you need.,get in car.,1,cause
133,enter store.,prepare grocery list.,get into car.,1,cause
134,go in store.,make a list.,get into car.,1,cause
135,get into car.,enter the store.,make a list of what is needed.,0,effect
136,get into car.,enter grocery store.,inventory your cupboards.make a list of what you need.,0,effect
137,get into my car.,enter store.,make a grocery list.,0,effect
138,get into car.,go into store.,list out the things you want to buy.,0,effect
139,get into car.,enter the grocery store and grab a shopping cart.,make a list of groceries needed.,0,effect
140,cross check the purchased items with your list.,look in the fridge.make a list.,get in car.,0,cause
141,cross them off your list(check if all items on list are purchased).,make a grocery list of items to buy.,get in the car.,0,cause
142,check whether the list is complete(all things on list are purchased).,make a list.,get inside the car.,0,cause
143,check your list at each aisle to ensure you haven't missed anything.,make a list.,get into my car.,0,cause
144,cross them off your list(check if all items on list are purchased).,make grocery list.,get in the car.,0,cause
145,make grocery list based off of menu.,cross check the purchased items with your list.,get in the car.,0,effect
146,make grocery list.,cross check the purchased items with your list.,get in the car.,0,effect
147,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,cross check the purchased items with your list.,get in car.,0,effect
148,make grocery list based off of menu.,check your list at each aisle to ensure you haven't missed anything.,get inside the car.,0,effect
149,write list.,cross them off your list(check if all items on list are purchased).,get into car.,0,effect
150,put groceries in your car.,make list of needed items.,get inside the car.,1,cause
151,go to car.,make a grocery list.,get into car.,1,cause
152,walk to the car with my groceries.unload the groceries into the backseat of my car.,make list.,get into car.,1,cause
153,put bought items in car.,list out the things you want to buy.,get into my car.,1,cause
154,leave the store.,make a list.,get into my car.,1,cause
155,get inside the car.,take the grocery bags to the car.,take inventory of items you will need.make a list of things you are going to buy.,0,effect
156,get inside the car.,take cart to car.put bags in car.,take inventory of items you will need.make a list of things you are going to buy.,0,effect
157,get in the car.,unload grocery into your car.,check existing stock.make a list of needed items.,0,effect
158,get into my car.,take cart to car.take bags out of cart and place into car.,write list.,0,effect
159,get in the car.,walk to the car with my groceries.unload the groceries into the backseat of my car.,make a grocery list.,0,effect
160,make list.,take list to store.,drive to store and park.,0,effect
161,make a grocery list of items to buy.,take list to store.,drive to grocery store.,0,effect
162,make a list of items you need at the grocery.,take the list of items to purchase you made to store.,go to the store by car.,0,effect
163,make a list of needed items.,take the list of items to purchase you made to store.,drive to store.,0,effect
164,make a grocery list.,take the list of items to purchase you made to store.,drive to store.,0,effect
165,take list to store.,drive to the grocery store.,making grocery list.,1,cause
166,carry the list of items to store.,go to grocery store by car.,make a shopping list based on the menu and items you need.,1,cause
167,carry the list of items to store.,drive to store.,make list of needed items.,1,cause
168,take list to store.,drive to store.,take inventory of items you will need.make a list of things you are going to buy.,1,cause
169,take list to store.,drive to the grocery store.,make list of needed items.,1,cause
170,write list.,take the list of items to purchase you made to store.,travel to grocery store by bus.,0,effect
171,make a grocery list.,carry the list of items to store.,travel to grocery store by bus.,0,effect
172,review what you have at home and make a list of what you need.,carry the list of items to store.,travel to grocery store by bus.,0,effect
173,make a grocery list.,carry the list of items to store.,take bus to grocery store.,0,effect
174,write list.,carry the list of items to store.,travel to grocery store by bus.,0,effect
175,take the list of items to purchase you made to store.,take bus to grocery store.,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,1,cause
176,carry the list of items to store.,take bus to grocery store.,make grocery list.,1,cause
177,take the list of items to purchase you made to store.,take bus to grocery store.,make a grocery list.,1,cause
178,carry the list of items to store.,take bus to grocery store.,make grocery list based off of menu.,1,cause
180,look in the fridge.make a list.,carry the list of items to store.,go to grocery shop by walking.,0,effect
181,make a list of things needed before leaving home.,take list to store.,go to grocery shop by walking.,0,effect
182,make grocery list.,take list to store.,walk to the store.,0,effect
183,make a grocery list.,take list to store.,walk to the store.,0,effect
184,make a list.,take the list of items to purchase you made to store.,go to grocery shop by walking.,0,effect
185,carry the list of items to store.,go to grocery shop by walking.,make a grocery list of items to buy.,1,cause
186,carry the list of items to store.,walk to the store.,make grocery list.,1,cause
187,take list to store.,go to grocery shop by walking.,making grocery list.,1,cause
188,take the list of items to purchase you made to store.,walk to the store.,inventory your cupboards.make a list of what you need.,1,cause
189,take the list of items to purchase you made to store.,walk to the store.,make grocery list based off of menu.,1,cause
190,make a list of what you need.,take list to store.,park the car.,0,effect
191,make grocery list.,take list to store.,park.,0,effect
192,look in the fridge.make a list.,take list to store.,find parking spot.park car.,0,effect
193,write list.,take the list of items to purchase you made to store.,park car.,0,effect
194,make grocery list.,take list to store.,park the car.,0,effect
195,carry the list of items to store.,park.,make a shopping list based on the menu and items you need.,1,cause
196,carry the list of items to store.,park car.,making grocery list.,1,cause
197,carry the list of items to store.,park.,make a list.,1,cause
198,carry the list of items to store.,park the car.,make a list.,1,cause
199,take the list of items to purchase you made to store.,park your car.,inventory your cupboards.make a list of what you need.,1,cause
200,create list of things to buy.,carry the list of items to store.,go into grocery store.,0,effect
201,make grocery list based off of menu.,take the list of items to purchase you made to store.,go inside.,0,effect
203,make grocery list.,take the list of items to purchase you made to store.,enter store.,0,effect
204,make a list of what is needed.,take the list of items to purchase you made to store.,enter grocery store.,0,effect
205,take list to store.,enter store.,make a grocery list.,1,cause
206,take the list of items to purchase you made to store.,go into grocery store.,make grocery list based off of menu.,1,cause
207,take list to store.,walk in to the store.,making grocery list.,1,cause
208,take the list of items to purchase you made to store.,enter grocery store.,check existing stock.make a list of needed items.,1,cause
209,take list to store.,go into grocery store.,review what you have at home and make a list of what you need.,1,cause
210,take inventory of items you will need.make a list of things you are going to buy.,get cart.,take list to store.,1,effect
211,make a grocery list of items to buy.,get a shopping cart.,carry the list of items to store.,1,effect
212,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,find cart.,take the list of items to purchase you made to store.,1,effect
213,make grocery list.,get shopping cart.,take list to store.,1,effect
214,make a list of things needed before leaving home.,"if several items are needed, grab a basket.",take the list of items to purchase you made to store.,1,effect
215,take the list of items to purchase you made to store.,grab a cart.,make grocery list.,1,cause
216,take list to store.,get a basket if needed.,make grocery list based off of menu.,1,cause
217,carry the list of items to store.,get a shopping cart from the front store.,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,1,cause
218,take list to store.,get a cart.,make list.,1,cause
219,take list to store.,get a cart.,make a list of what is needed.,1,cause
220,make list of needed items.,take the list of items to purchase you made to store.,walk down desired aisles.,0,effect
221,inventory your cupboards.make a list of what you need.,take the list of items to purchase you made to store.,go down aisles and retrieve items.,0,effect
222,make a list of what you need.,take list to store.,"push cart around store, getting items from list.",0,effect
223,make grocery list.,take list to store.,go aisle by aisle putting the items i want in the cart.,0,effect
224,review what you have at home and make a list of what you need.,carry the list of items to store.,walk through aisles.,0,effect
225,take the list of items to purchase you made to store.,walk through aisles.,make a list.,1,cause
226,carry the list of items to store.,stroll through store and get needed items.,take inventory of items you will need.make a list of things you are going to buy.,1,cause
227,carry the list of items to store.,walk through store and place items you want into cart.,make list.,1,cause
228,carry the list of items to store.,find what aisles you need to go to.,making grocery list.,1,cause
229,take the list of items to purchase you made to store.,"push cart around store, getting items from list.",make a grocery list.,1,cause
230,make a list of what you need.,take list to store.,fill the shopping cart with grocery items.,0,effect
231,take inventory of items you will need.make a list of things you are going to buy.,carry the list of items to store.,find items on gerocery rack.put items into cart.,0,effect
232,making grocery list.,take the list of items to purchase you made to store.,get fruits and veggies.get meat.go through the rest of the store for getting remaining things.see a nice cake put it in cart.,0,effect
233,making grocery list.,take list to store.,"first pick up the bottle things so that it goes in bottom of the trolley.then shop for the packet items.now time for oil, milk items so that it won't get crushed by other heavy things.",0,effect
234,make a list of groceries needed.,carry the list of items to store.,put them in the cart.,0,effect
235,take list to store.,take things off shelf.,make a list.,1,cause
236,take list to store.,put items in cart while shopping.,make grocery list.,1,cause
237,take list to store.,gather items from shelves.,make a list.,1,cause
238,carry the list of items to store.,find items on grocery rack.,take inventory of items you will need.make a list of things you are going to buy.,1,cause
239,take the list of items to purchase you made to store.,"go to shelf and get the boxed, bagged, jarred food items.",make a list.,1,cause
240,make grocery list.,take list to store.,take cart to checkout line.,0,effect
241,create list of things to buy.,take list to store.,bring items to cashier at front of store.,0,effect
242,make a list.,carry the list of items to store.,go to checkout line.,0,effect
243,make grocery list based off of menu.,take the list of items to purchase you made to store.,bring cart to register.,0,effect
244,make a grocery list.,take the list of items to purchase you made to store.,bring cart to register.,0,effect
245,carry the list of items to store.,take the full cart to the checkout lane.,create list of things to buy.,1,cause
246,carry the list of items to store.,head for the counter.,write list.,1,cause
247,carry the list of items to store.,go to check out.,make a grocery list.,1,cause
248,take the list of items to purchase you made to store.,go to checkout line.,make a grocery list.,1,cause
249,take list to store.,go to checkout lane.,check existing stock.make a list of needed items.,1,cause
250,make a list.,carry the list of items to store.,wait your turn.,0,effect
251,make a grocery list.,take the list of items to purchase you made to store.,wait your turn.,0,effect
252,make a shopping list based on the menu and items you need.,take list to store.,wait your turn to pay.,0,effect
253,making grocery list.,take the list of items to purchase you made to store.,wait in line.,0,effect
254,make a list of grocery required.,take list to store.,wait in line at checkout.,0,effect
255,take list to store.,wait in line.,make a list of things needed before leaving home.,1,cause
256,take the list of items to purchase you made to store.,wait your turn.,make grocery list.,1,cause
257,carry the list of items to store.,wait your turn.,check existing stock.make a list of needed items.,1,cause
258,take the list of items to purchase you made to store.,wait in line at checkout.,make a list of things needed before leaving home.,1,cause
259,carry the list of items to store.,stand in line for register.,make a list.,1,cause
260,make a list of things needed before leaving home.,carry the list of items to store.,present any coupons you may have for items purchased.,0,effect
261,make grocery list.,take list to store.,present any coupons you may have for items purchased.,0,effect
262,write list.,take the list of items to purchase you made to store.,present any coupons you may have for items purchased.,0,effect
263,make a list of what is needed.,take list to store.,present any coupons you may have for items purchased.,0,effect
264,first see that you prepare the entire list for shopping.double check with the list you prepared is in low quantity or null in your house.,take the list of items to purchase you made to store.,present any coupons you may have for items purchased.,0,effect
265,take the list of items to purchase you made to store.,present any coupons you may have for items purchased.,make grocery list.,1,cause
266,take list to store.,present any coupons you may have for items purchased.,make a grocery list.,1,cause
268,take the list of items to purchase you made to store.,present any coupons you may have for items purchased.,look in the fridge.make a list.,1,cause
269,carry the list of items to store.,present any coupons you may have for items purchased.,make a list of what is needed.,1,cause
270,make grocery list.,take the list of items to purchase you made to store.,place items onto conveyor belt.,0,effect
271,take inventory of items you will need.make a list of things you are going to buy.,carry the list of items to store.,remove items from cart.,0,effect
272,list out the things you want to buy.,carry the list of items to store.,put items on conveyor belt.,0,effect
273,make a list.,carry the list of items to store.,put items on table.,0,effect
274,make a list of grocery required.,carry the list of items to store.,load items from the cart onto the checkout lane's belt.,0,effect
275,take list to store.,place groceries items on conveyor belt.,make grocery list based off of menu.,1,cause
276,take list to store.,place groceries items on conveyor belt.,prepare grocery list.,1,cause
277,carry the list of items to store.,put items on counter.,make grocery list.,1,cause
278,carry the list of items to store.,put items on counter.,make grocery list based off of menu.,1,cause
279,carry the list of items to store.,remove items from cart.,make list.,1,cause
280,make list of needed items.,take list to store.,bill it in the counter.,0,effect
281,make a grocery list of items to buy.,carry the list of items to store.,watch prices as the checker scans.,0,effect
282,make a list of what is needed.,take the list of items to purchase you made to store.,scan all my items while somebody bags them.,0,effect
283,create list of things to buy.,take the list of items to purchase you made to store.,cashier rings up items.,0,effect
284,list out the things you want to buy.,take list to store.,check out food.,0,effect
285,take list to store.,wait for cashier to finish ringing you up.,make list of needed items.,1,cause
286,carry the list of items to store.,wait for cashier to finish ringing you up.,make a grocery list.,1,cause
287,take the list of items to purchase you made to store.,watch prices as the checker scans.,list out the things you want to buy.,1,cause
288,take the list of items to purchase you made to store.,check out the things.,make a list of groceries needed.,1,cause
289,take the list of items to purchase you made to store.,wait for cashier to finish ringing you up.,make a grocery list of items to buy.,1,cause
290,inventory your cupboards.make a list of what you need.,take the list of items to purchase you made to store.,cashier gives total amount to be paid.,0,effect
291,making grocery list.,take list to store.,wait to know the total amount to be paid.,0,effect
292,make list of needed items.,carry the list of items to store.,cashier gives total.,0,effect
293,make a list.,take the list of items to purchase you made to store.,cashier gives total.,0,effect
294,make a list of needed items.,take the list of items to purchase you made to store.,cashier gives total amount to be paid.,0,effect
295,take the list of items to purchase you made to store.,cashier gives you total.,make a shopping list based on the menu and items you need.,1,cause
296,take list to store.,wait to know the total amount to be paid.,make a grocery list.,1,cause
297,take list to store.,cashier gives total amount to be paid.,make a grocery list.,1,cause
298,take list to store.,wait to know the total amount to be paid.,make a list of grocery required.,1,cause
299,take list to store.,"when all items are scanned, the cashier will give you a total.",make a list of what you need.,1,cause
300,make a list of what you need.,carry the list of items to store.,get wallet and take money out of it.,0,effect
301,write list.,take list to store.,take the money out of wallet for paying the bill.,0,effect
302,make a list of items you need at the grocery.,take the list of items to purchase you made to store.,get wallet and take money out of it.,0,effect
303,make a list.,take list to store.,take out money from the wallet.,0,effect
304,make grocery list.,take list to store.,take out money from the wallet.,0,effect
305,take list to store.,take the money out of wallet for paying the bill.,make grocery list based off of menu.,1,cause
306,take list to store.,take out money from the wallet.,make a list of groceries needed.,1,cause
307,take the list of items to purchase you made to store.,take out money from the wallet.,make a list of needed items.,1,cause
308,carry the list of items to store.,get wallet and take money out of it.,make a list.,1,cause
309,take list to store.,get wallet and take money out of it.,write list.,1,cause
310,make a list of what you need.,take list to store.,pay for your items.,0,effect
311,inventory your cupboards.make a list of what you need.,take list to store.,pay for the shopping.,0,effect
312,make a list of items you need at the grocery.,carry the list of items to store.,pay for items.,0,effect
313,make list.,take the list of items to purchase you made to store.,pay for them at the register.,0,effect
314,make list.,take list to store.,"pay for your groceries with either cash, check, or debit or credit.",0,effect
315,take the list of items to purchase you made to store.,pay total.,make a grocery list.,1,cause
316,take the list of items to purchase you made to store.,pay for my groceries.,check existing stock.make a list of needed items.,1,cause
317,take the list of items to purchase you made to store.,pay for items.,make a list of grocery required.,1,cause
318,take the list of items to purchase you made to store.,pay the total amount.,make a grocery list.,1,cause
319,take the list of items to purchase you made to store.,pay for items.,make grocery list.,1,cause
320,create list of things to buy.,take the list of items to purchase you made to store.,get neatly packed and take it to home.,0,effect
321,check existing stock.make a list of needed items.,take the list of items to purchase you made to store.,bag items.,0,effect
322,make a list.,carry the list of items to store.,bag items.,0,effect
323,prepare grocery list.,take the list of items to purchase you made to store.,bag the groceries.,0,effect
324,make grocery list.,carry the list of items to store.,bag food.,0,effect
325,take the list of items to purchase you made to store.,bagger bags groceries.,making grocery list.,1,cause
326,take the list of items to purchase you made to store.,bag the groceries.,make a list of what is needed.,1,cause
327,take the list of items to purchase you made to store.,pack the things in your bag and prepare to leave the mall.,make a list of grocery required.,1,cause
328,carry the list of items to store.,pack items.,make list.,1,cause
329,carry the list of items to store.,bag the groceries.,make list of needed items.,1,cause
330,prepare grocery list.,carry the list of items to store.,place bags of groceries into cart.,0,effect
331,make a list of needed items.,take list to store.,put the bagged items in the cart.,0,effect
332,review what you have at home and make a list of what you need.,take the list of items to purchase you made to store.,"as the cashier bags items, place them back into your cart.",0,effect
333,make a list.,take list to store.,place bags of groceries into cart.,0,effect
334,make grocery list.,take list to store.,bagger places in cart.,0,effect
335,take list to store.,put bags in cart.,make grocery list.,1,cause
336,carry the list of items to store.,bagger places in cart.,write list.,1,cause
337,carry the list of items to store.,"as the cashier bags items, place them back into your cart.",making grocery list.,1,cause
338,take list to store.,put bags in cart.,write list.,1,cause
339,take the list of items to purchase you made to store.,put bags in cart.,make a grocery list of items to buy.,1,cause
340,look in the fridge.make a list.,get the bill for groceries.,carry the list of items to store.,1,effect
341,take inventory of items you will need.make a list of things you are going to buy.,get the bill.,take list to store.,1,effect
342,make a grocery list of items to buy.,get receipt.,take the list of items to purchase you made to store.,1,effect
343,make a shopping list based on the menu and items you need.,get receipt.,take list to store.,1,effect
344,make grocery list.,get receipt.,carry the list of items to store.,1,effect
345,take list to store.,get the bill.,make a grocery list of items to buy.,1,cause
346,take list to store.,get the bill.,make grocery list.,1,cause
347,carry the list of items to store.,get receipt.,make a list.,1,cause
348,take list to store.,get the bill for groceries.,make a grocery list.,1,cause
349,take the list of items to purchase you made to store.,get receipt.,make a list of what you need.,1,cause
350,make a grocery list.,take bags to car.,carry the list of items to store.,1,effect
351,make a list.,put bought items in car.,take list to store.,1,effect
352,make a list of needed items.,take bags to your car.,take list to store.,1,effect
353,make a list of needed items.,take the grocery bags to the car.,take the list of items to purchase you made to store.,1,effect
354,make a grocery list of items to buy.,take bags to your car.,carry the list of items to store.,1,effect
355,take list to store.,take groceries to car.,make grocery list.,1,cause
356,carry the list of items to store.,walk out to the car.put the items in the car.,write list.,1,cause
357,carry the list of items to store.,go to car.,make a list of grocery required.,1,cause
358,take the list of items to purchase you made to store.,push cart back to car.put groceries in trunk.,review what you have at home and make a list of what you need.,1,cause
359,take the list of items to purchase you made to store.,go back to the car.put the bags in the car.,make a shopping list based on the menu and items you need.,1,cause
360,list out the things you want to buy.,take list to store.,return cart to store.,0,effect
361,make a list.,carry the list of items to store.,return cart to store.,0,effect
362,make a list of things needed before leaving home.,take the list of items to purchase you made to store.,return cart to store.,0,effect
363,make grocery list.,take list to store.,return cart to store.,0,effect
365,take the list of items to purchase you made to store.,place cart into cart corral.,make grocery list.,1,cause
366,carry the list of items to store.,place cart into cart corral.,make a list of needed items.,1,cause
367,take the list of items to purchase you made to store.,return cart to store.,make a list of things needed before leaving home.,1,cause
368,carry the list of items to store.,place cart into cart corral.,make grocery list.,1,cause
369,take list to store.,place cart into cart corral.,make grocery list.,1,cause
370,find parking spot.park car.,making grocery list.,drive to grocery store.,1,cause
371,park the car.,make grocery list.,"visit the mall by car, park the vehicle.",1,cause
372,park.,check existing stock.make a list of needed items.,go to store by driving.,1,cause
373,park.,make a list.,drive to nearest grocery store.,1,cause
374,get out of car and move towards grocery store.,make a list of grocery required.,go to the store by car.,1,cause
375,drive to nearest grocery store.,make a list.,park car.,1,effect
376,go to grocery store by car.,make grocery list.,park car at the parking.,1,effect
377,drive to the grocery store.,inventory your cupboards.make a list of what you need.,park your car.,1,effect
378,drive to grocery store of choice.,check existing stock.make a list of needed items.,park.,1,effect
379,find a grocery nearby.go to grocery by driving.,make a list.,get out of car and move towards grocery store.,1,effect
380,go into grocery store.,make a list of needed items.,make a trip to the store by car.,1,cause
381,enter the store.,list out the things you want to buy.,drive to nearest grocery store.,1,cause
