,premise,choice1,choice2,label,question
168,go to the bus stop/bus stand.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
169,go to a bus stop.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
170,get to bus stop some time early.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
171,arrive at bus stop prior to bus's arrival.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
172,"find the bus stop nearest to your location.when you are ready to leave, go to the nearest bus stop and wait for the next bus.","when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
173,find the nearest bus stop.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
174,go to the bus stop.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
175,reach the designated bus stop before the bus reaches there to avoid missing the bus.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
176,go to bus station.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
178,"find the bus stop nearest to your location.when you are ready to leave, go to the nearest bus stop and wait for the next bus.",signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
182,go to a bus stop.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
186,walk to the bus stop.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
187,walk to bus stop.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
189,get to bus stop some time early.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
191,go to bus stop.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
192,board the bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
193,"when bus arrives, step on board.","find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
194,board bus.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
195,get on the bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
196,get on the bus.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
197,when your bus comes climb in it.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
198,when it arrives get on.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
199,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
200,enter bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
201,"when bus arrives, step on board.","find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
202,step onto arriving bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
203,step onto bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
204,get on the bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
205,board bus when it arrives .,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
206,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
208,"when bus arrives, enter.climb bus steps.","find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
209,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
210,get on the bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
212,enter the bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
214,get onto the bus when it reaches the stop.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
215,board bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
216,"when bus arrives, step on board.","find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
217,board bus when it arrives .,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
223,board bus when it arrives.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
224,bus arrives at the source station.,enter bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
225,the bus arrives at the departure station.,enter bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
226,bus reaches at departure station.,board the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
227,the bus arrives at the departure station.,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
228,bus arrives at the source station.,board the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
229,bus arrives at the source location.,board bus when it arrives .,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
230,bus arrives at the source station.,enter the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
231,bus arrives at the source location.,"when bus arrives, step on board.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
234,the bus arrives at the departure station.,get on the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
236,bus reaches at departure station.,get on the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
237,bus arrives at the source location.,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
238,bus arrives at the source location.,step onto arriving bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
240,bus reaches at departure station.,step on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
241,bus arrives at the source station.,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
242,bus reaches at departure station.,get on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
243,bus arrives at the source location.,"when the driver opens the door, board the bus.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
244,bus arrives at the source location.,board bus when bus arrives.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
248,the bus arrives at the departure station.,board bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
249,the bus arrives at the departure station.,"when the driver opens the door, board the bus.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
250,the bus arrives at the departure station.,board bus when bus arrives.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
253,bus arrives at the source location.,walk up the steps of the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
254,bus reaches at departure station.,"when the driver opens the door, board the bus.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
255,bus arrives at the source station.,step on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
256,pay bus fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
257,pay for the ride.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
258,pay the fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
259,pay bus fare.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
260,show bus driver your ticket.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
261,pay the driver.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
262,pay the bus driver.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
263,pay bus fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
264,pay the fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
266," to pay the fare, you can either buy a bus pass or pay each time you ride the bus.","find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
267,pay for fare.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
268,pay for fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
269,pay the driver.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
270,pay the bus driver.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
272,pay for your fare.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
273,pay fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
274,pay the fee.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
275,pay your bus fare.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
276,pay fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
277,give your money to the driver.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
278,take the tickets.pay for the ride.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
279,pay the fare to ride the bus.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
280,pay fare.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
281,pay fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
284,pay for your fare.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
286,pay the fee.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
287,pay the bus driver.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
288,bus reaches at departure station.,buy ticket for your destination.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
289,bus reaches at departure station.,pay for fare.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
290,bus arrives at the source location.,"while boarding, pay the driver the required fee or show a pass.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
291,bus arrives at the source station.,buy bus pass on buss.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
292,the bus arrives at the departure station.,pay for the ride.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
293,bus arrives at the source location.,buy bus pass on buss.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
294,bus reaches at departure station.,pay the toll.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
295,the bus arrives at the departure station.,pay the fare.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
296,bus arrives at the source station.,put exact change in money receiver.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
297,bus arrives at the source station.,take the tickets.pay for the ride.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
299,bus arrives at the source location.,pay fee.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
300,bus reaches at departure station.,pay the bus driver.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
301,bus arrives at the source location.,pay bus fare.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
302,bus arrives at the source location.,pay the fee.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
303,the bus arrives at the departure station.,buy bus pass on buss.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
305,the bus arrives at the departure station.,pay the toll.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
306,the bus arrives at the departure station.,pay the fare to ride the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
307,the bus arrives at the departure station.,pay the bus driver.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
308,the bus arrives at the departure station.,buy bus ticket.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
309,the bus arrives at the departure station.,pay money or swipe pass.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
310,the bus arrives at the departure station.,pay bus fair.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
311,bus arrives at the source location.,pay the fare to ride the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
312,the bus arrives at the departure station.,pay fare when boarding bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
313,bus reaches at departure station.,give your fare to the bus driver.receive ticket.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
314,bus reaches at departure station.,pay the fare to ride the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
315,bus arrives at the source station.,get a ticket for the bus ride.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
317,the bus arrives at the departure station.,swipe bus pass.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
318,bus reaches at departure station.,"while boarding, pay the driver the required fee or show a pass.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
319,bus arrives at the source station.,pay fare when boarding bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
320,find seat on bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
321,sit down.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
322,sit down if possible.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
323,choose a seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
324,find a seat.sit down.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
325,take a seat.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
326,find empty seat.sit down.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
327,take a seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
328,take your seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
329,walk down center of bus to find a seat.sit in seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
330,walk down center of bus to find a seat.sit in seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
331,sit on a seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
332,sit down.find an open seat.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
333,find a empty seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
334,sit down.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
335,choose a seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
337,sit down.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
338,find a seat.sit down.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
339,sit down in on empty seat in bus.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
341,find a seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
342,choose a seat.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
343,sit or stand to location.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
345,sit on a seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source location.,1,cause
346,sit down and wait for your desired stop.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
349,sit down and wait for your desired stop.,"find out how much the bus ride costs, either online or by calling bus company.",bus reaches at departure station.,1,cause
350,find an empty seat.sit down or stand if there isn't an empty seat.,"find out how much the bus ride costs, either online or by calling bus company.",the bus arrives at the departure station.,1,cause
351,find a empty seat.,"find out how much the bus ride costs, either online or by calling bus company.",bus arrives at the source station.,1,cause
352,bus arrives at the source location.,find seat on bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
353,bus arrives at the source location.,walk down center of bus to find a seat.sit in seat.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
354,bus reaches at departure station.,sit on a seat.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
355,bus arrives at the source station.,find seat on bus and sit.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
