,premise,choice1,choice2,label,question
118,go to garden center.,choose spot for planting.,"purchase seedling, or bush.",1,effect
119,go to store.,select a site to plant the tree.,purchase a tree.,1,effect
120,go to nursery.,select a spot where to plant a tree preferably in good exposure to sunlight.,buy some sapling of desired tree.,1,effect
121,go to store.,locate the spot to plant the tree.,purchase tree.,1,effect
122,go to nursery.,go to a field or a yard.,get tree in pot.,1,effect
123,go to nursery.,go outside.,purchase tree.,1,effect
124,go to garden center.,find spot to plant tree.,purchase the tree.,1,effect
125,go to nursery.,pick a spot in the yard for the tree.,buy tree sapling.,1,effect
126,obtain seedling.,find a suitable area.,go to garden center.,1,cause
127,buy sapling.,go outside to find spot for tree.,go to nursery.,1,cause
128,pick out a sapling that you like.,find a location to plant tree.,go to store.,1,cause
129,buy a sapling from nursery.,pick a spot in the yard for the tree.,go to garden center.,1,cause
130,buy tree sapling.,go to a field or a yard.,go to nursery.,1,cause
131,purchase a sapling and garden gloves.,find a spot to plant tree.,go to store.,1,cause
132,obtain seedling.,go home and pick out a nice place to plant your tree.,go to garden center.,1,cause
133,"purchase seedling, or bush.",go outside to find spot for tree.,go to garden center.,1,cause
134,purchase seedling of tree.,find a location to plant tree.,go to nursery.,1,cause
135,acquire sapling.,locate the spot to plant the tree.,go to nursery.,1,cause
136,purchase seedling of tree.,find place in ground with enough space for tree.,go to store.,1,cause
137,buy the tree.,go outside to find spot for tree.,go to nursery.,1,cause
138,obtain seedling.,find a spot to plant.,go to nursery.,1,cause
139,purchase a tree to plant.,go to a field or a yard.,go to nursery.,1,cause
140,get the tree and take it out into the yard.,go to a field or a yard.,go to store.,1,cause
141,get tree.,select a correct place in my backyard.,go to nursery.,1,cause
142,buy the tree.,find a spot to plant.,go to garden center.,1,cause
143,buy a tree.,walk outside.,go to nursery.,1,cause
144,get a tree.,find a spot to plant.,go to nursery.,1,cause
145,get tree sapling.,locate the spot to plant the tree.,go to nursery.,1,cause
146,get tree in pot.,find place for tree.,go to nursery.,1,cause
147,get plant sapling.,choose a spot to plant the tree.,go to garden center.,1,cause
148,buy some sapling of desired tree.,select a correct place in my backyard.,go to store.,1,cause
149,buy a sapling from nursery.,go to a field or a yard.,go to nursery.,1,cause
150,buy a tree.,find place in ground with enough space for tree.,go to nursery.,1,cause
152,buy sapling.,go to a field or a yard.,go to nursery.,1,cause
153,buy sapling.,find spot to plant tree.,go to garden center.,1,cause
154,get baby tree to plant.,selecting the site to plant tree.,go to garden center.,1,cause
155,get baby tree to plant.,locate the spot to plant the tree.,go to store.,1,cause
156,buy a tree.,go home and pick out a nice place to plant your tree.,go to garden center.,1,cause
157,get baby tree to plant.,go home and pick out a nice place to plant your tree.,go to garden center.,1,cause
158,get tree sapling.,pick location.,go to nursery.,1,cause
159,purchase tree.,select location.,go to nursery.,1,cause
160,pick out a sapling that you like.,choose a spot to plant the tree.,go to store.,1,cause
161,buy a sapling from nursery.,find spot to plant tree.,go to garden center.,1,cause
162,purchase seedling of tree.,find a suitable area.,go to nursery.,1,cause
163,get the tree and take it out into the yard.,choose spot for planting.,go to garden center.,1,cause
164,get a tree.,pick a spot in the yard for the tree.,go to store.,1,cause
165,get tree sapling.,selecting the site to plant tree.,go to store.,1,cause
166,buy sapling.,determine where to plant it.,go to store.,1,cause
167,purchase tree.,find place for tree.,go to store.,1,cause
168,go to garden center.,buy a young tree.,get shovel and gloves.,0,effect
169,go to store.,buy tree sapling.,"get spade,gloves and other tools.",0,effect
170,go to garden center.,obtain seedling.,"find shovel , gloves and relevant tools.",0,effect
171,go to garden center.,buy the tree.,"get a shovel,watering can and gloves.",0,effect
172,go to garden center.,go buy a tree.,get relevant tools like shovel.gloves etc.get a water hose.,0,effect
173,go to store.,acquire sapling.,get shovel and gloves.,0,effect
174,go to nursery.,purchase a tree to plant.,"get shovel,gardening gloves and other required tools.",0,effect
175,go to store.,get plant sapling.,"get spade,gloves and other tools.",0,effect
176,go to store.,get tree sapling you want.,"get shovel,gloves and other tools ready.",0,effect
177,go to nursery.,purchase tree.,"get spade,gloves and other tools.",0,effect
178,go to nursery.,buy some sapling of desired tree.,"get shovel,gardening gloves and other required tools.",0,effect
179,go to nursery.,buy a sapling from nursery.,get shovel and gloves.,0,effect
180,go to nursery.,get baby tree to plant.,"get spade,gloves and other tools.",0,effect
181,go to store.,buy tree sapling.,get gloves and shovel.,0,effect
182,go to nursery.,get plant sapling.,get gloves and shovel.,0,effect
183,go to nursery.,acquire sapling.,get gloves and shovel.,0,effect
184,go to garden center.,get plant sapling.,"find shovel , gloves and relevant tools.",0,effect
185,go to garden center.,get tree in pot.,"grab shovel,gloves and other gardening tools.",0,effect
186,go to nursery.,get tree.,find the shovel and gloves.get the hose.,0,effect
187,go to nursery.,buy a tree.,get gloves.get garden supplies.,0,effect
188,go to nursery.,"purchase seedling, or bush.","get shovel,gardening gloves and other required tools.",0,effect
189,go to store.,buy a small tree at a nursery.,"get shovel,gardening gloves and other required tools.",0,effect
190,go to nursery.,pick out a sapling that you like.,get gloves and shovel.,0,effect
191,go to nursery.,buy some sapling of desired tree.,get gloves and shovel.,0,effect
192,go to nursery.,buy tree sapling.,"get watering can, gloves and spade.",0,effect
193,go to nursery.,get tree in pot.,"get watering can, gloves and spade.",0,effect
194,go to nursery.,buy plant.,"get shovel,gardening gloves and other required tools.",0,effect
195,go to store.,get the tree and take it out into the yard.,"get a shovel,watering can and gloves.",0,effect
196,go to store.,get tree in pot.,"grab shovel,gloves and other gardening tools.",0,effect
197,go to nursery.,purchase the tree.,"find shovel , gloves and relevant tools.",0,effect
198,go to nursery.,buy a sapling from nursery.,get relevant tools like shovel.gloves etc.get a water hose.,0,effect
199,go to store.,buy a tree.,"grab shovel,gloves and other gardening tools.",0,effect
200,go to garden center.,pick out a sapling that you like.,get gloves and shovel.,0,effect
201,go to nursery.,get a tree.,get gloves and shovel.,0,effect
202,go to nursery.,purchase the tree.,get shovel and gloves.,0,effect
203,go to garden center.,get tree.,"get shovel,gloves and tree sapling.",0,effect
204,go to garden center.,buy a tree.,get gloves and shovel.,0,effect
205,go to nursery.,get baby tree to plant.,"get watering can, gloves and spade.",0,effect
206,go to nursery.,buy tree sapling.,"get shovel,gloves and tree sapling.",0,effect
207,go to garden center.,get tree.,"take gloves,shovel and other tools.",0,effect
208,go to nursery.,get tree.,"get shovel,gloves and other tools ready.",0,effect
209,go to store.,get tree seedloing.,get gloves and shovel.,0,effect
210,buy sapling.,get gloves and shovel.,go to garden center.,1,cause
211,get plant sapling.,"get shovel,gloves and other tools ready.",go to nursery.,1,cause
212,purchase a sapling and garden gloves.,"get shovel,gloves and other tools ready.",go to nursery.,1,cause
213,buy a young tree.,"get shovel,gloves and other tools ready.",go to nursery.,1,cause
214,get tree seedloing.,"get watering can, gloves and spade.",go to store.,1,cause
215,go buy a tree.,"get shovel,gloves and watering can.",go to store.,1,cause
216,get tree sapling.,"get shovel,gloves and watering can.",go to garden center.,1,cause
217,buy a tree.,get shovel and gloves.,go to store.,1,cause
218,get tree sapling.,"take gloves,shovel and other tools.",go to garden center.,1,cause
219,buy a small tree at a nursery.,find the shovel and gloves.get the hose.,go to nursery.,1,cause
220,buy plant.,"get a shovel,watering can and gloves.",go to garden center.,1,cause
221,buy the tree.,get gloves and shovel.,go to store.,1,cause
222,purchase a tree to plant.,"get shovel,gloves and tree sapling.",go to nursery.,1,cause
223,obtain seedling.,get shovel and gloves.,go to nursery.,1,cause
224,buy a tree sapling.,"get shovel,gloves and tree sapling.",go to nursery.,1,cause
225,buy some sapling of desired tree.,get shovel and gloves.,go to nursery.,1,cause
226,buy a tree.,"take gloves,shovel and other tools.",go to nursery.,1,cause
227,buy a small tree at a nursery.,get shovel and gloves.,go to store.,1,cause
228,purchase the tree.,go to nursery.,get gloves and shovel.,0,cause
229,buy plant sapling.,find the shovel and gloves.get the hose.,go to nursery.,1,cause
230,"purchase seedling, or bush.","get watering can, gloves and spade.",go to garden center.,1,cause
231,purchase the tree.,"get shovel,gloves and tree sapling.",go to garden center.,1,cause
232,purchase the tree.,go to nursery.,get gloves.get garden supplies.,0,cause
233,obtain seedling.,get gloves and shovel.,go to nursery.,1,cause
234,buy the tree.,get shovel and gloves.,go to nursery.,1,cause
235,acquire sapling.,get gloves and shovel.,go to store.,1,cause
236,get the tree and take it out into the yard.,"get shovel,gloves and tree sapling.",go to nursery.,1,cause
237,buy the tree.,"get spade,gloves and other tools.",go to nursery.,1,cause
238,acquire sapling.,get relevant tools like shovel.gloves etc.get a water hose.,go to garden center.,1,cause
239,get a tree.,"find shovel , gloves and relevant tools.",go to nursery.,1,cause
240,obtain seedling.,get gloves.get garden supplies.,go to nursery.,1,cause
241,buy a tree.,"find shovel , gloves and relevant tools.",go to nursery.,1,cause
242,purchase the tree.,"get shovel,gloves and tree sapling.",go to nursery.,1,cause
243,buy a tree.,find the shovel and gloves.get the hose.,go to nursery.,1,cause
244,buy a small tree at a nursery.,"grab shovel,gloves and other gardening tools.",go to garden center.,1,cause
245,go buy a tree.,"get a shovel,watering can and gloves.",go to garden center.,1,cause
246,buy plant.,"take gloves,shovel and other tools.",go to garden center.,1,cause
247,purchase a tree.,"get spade,gloves and other tools.",go to nursery.,1,cause
248,buy some sapling of desired tree.,"get shovel,gardening gloves and other required tools.",go to nursery.,1,cause
249,buy plant.,find the shovel and gloves.get the hose.,go to garden center.,1,cause
250,purchase a tree.,"take gloves,shovel and other tools.",go to store.,1,cause
251,purchase tree.,"take gloves,shovel and other tools.",go to nursery.,1,cause
252,go to nursery.,buy the tree.,put on gloves and sunglasses.,0,effect
253,go to nursery.,buy plant sapling.,put on gloves.,0,effect
254,go to store.,acquire sapling.,put on gloves.,0,effect
255,go to nursery.,purchase a tree to plant.,put on gloves.,0,effect
256,go to nursery.,pick out a sapling that you like.,put on gloves.,0,effect
257,go to nursery.,get the tree and take it out into the yard.,put on gloves and sunglasses.,0,effect
258,go to garden center.,purchase tree.,put on gloves and sunglasses.,0,effect
259,go to store.,get baby tree to plant.,put on gloves and sunglasses.,0,effect
260,go to store.,buy tree sapling.,put on gloves and sunglasses.,0,effect
262,go to store.,buy plant.,put on gloves.,0,effect
263,go to nursery.,purchase a tree to plant.,put on gloves and sunglasses.,0,effect
264,go to store.,get tree sapling.,put on gloves and sunglasses.,0,effect
265,go to garden center.,buy sapling.,put on gloves.,0,effect
266,go to store.,go buy a tree.,put on gloves.,0,effect
267,go to store.,get tree sapling.,put on gloves.,0,effect
268,go to garden center.,get tree in pot.,put on gloves and sunglasses.,0,effect
269,go to nursery.,get baby tree to plant.,put on gloves and sunglasses.,0,effect
270,go to garden center.,buy plant.,put on gloves.,0,effect
271,go to nursery.,buy a sapling from nursery.,put on gloves.,0,effect
273,go to garden center.,obtain seedling.,put on gloves.,0,effect
274,go to store.,buy a young tree.,put on gloves.,0,effect
275,go to store.,purchase seedling of tree.,put on gloves.,0,effect
276,go to garden center.,buy or get a plant sapling .,put on gloves.,0,effect
277,go to nursery.,buy sapling.,put on gloves.,0,effect
278,go to nursery.,buy sapling.,put on gloves and sunglasses.,0,effect
280,go to nursery.,buy a tree.,put on gloves.,0,effect
281,go to nursery.,get tree seedloing.,put on gloves and sunglasses.,0,effect
283,go to garden center.,purchase a tree.,put on gloves and sunglasses.,0,effect
284,go to nursery.,"purchase seedling, or bush.",put on gloves and sunglasses.,0,effect
285,go to store.,buy a young tree.,put on gloves and sunglasses.,0,effect
286,go to garden center.,buy a tree.,put on gloves and sunglasses.,0,effect
287,go to store.,buy a tree.,put on gloves.,0,effect
288,go to nursery.,buy tree sapling.,put on gloves and sunglasses.,0,effect
289,go to garden center.,pick out a sapling that you like.,put on gloves and sunglasses.,0,effect
290,go to nursery.,buy a young tree.,put on gloves.,0,effect
291,go to garden center.,get tree sapling.,put on gloves and sunglasses.,0,effect
292,go to nursery.,buy a tree sapling.,put on gloves and sunglasses.,0,effect
293,go to store.,purchase seedling of tree.,put on gloves and sunglasses.,0,effect
294,buy tree sapling.,put on gloves and sunglasses.,go to store.,1,cause
295,buy plant.,put on gloves.,go to nursery.,1,cause
296,purchase tree.,put on gloves and sunglasses.,go to garden center.,1,cause
297,get tree seedloing.,put on gloves and sunglasses.,go to nursery.,1,cause
298,purchase the tree.,put on gloves.,go to nursery.,1,cause
300,buy sapling.,put on gloves and sunglasses.,go to store.,1,cause
301,buy a sapling from nursery.,put on gloves.,go to nursery.,1,cause
302,get a tree.,put on gloves.,go to store.,1,cause
303,buy a sapling from nursery.,put on gloves and sunglasses.,go to nursery.,1,cause
304,purchase a tree.,put on gloves and sunglasses.,go to nursery.,1,cause
306,get baby tree to plant.,put on gloves and sunglasses.,go to nursery.,1,cause
307,get tree sapling.,put on gloves and sunglasses.,go to nursery.,1,cause
308,get tree sapling.,put on gloves.,go to nursery.,1,cause
309,get plant sapling.,put on gloves.,go to nursery.,1,cause
310,buy a tree sapling.,put on gloves and sunglasses.,go to garden center.,1,cause
311,get tree.,put on gloves and sunglasses.,go to nursery.,1,cause
313,"purchase seedling, or bush.",put on gloves and sunglasses.,go to store.,1,cause
315,buy tree sapling.,put on gloves.,go to garden center.,1,cause
316,get tree in pot.,put on gloves and sunglasses.,go to store.,1,cause
317,buy a tree.,put on gloves.,go to garden center.,1,cause
318,get a tree.,put on gloves.,go to nursery.,1,cause
319,get baby tree to plant.,put on gloves and sunglasses.,go to garden center.,1,cause
320,get tree sapling you want.,put on gloves.,go to nursery.,1,cause
321,buy or get a plant sapling .,put on gloves and sunglasses.,go to nursery.,1,cause
322,buy or get a plant sapling .,put on gloves.,go to nursery.,1,cause
323,buy sapling.,put on gloves and sunglasses.,go to garden center.,1,cause
324,buy a tree sapling.,put on gloves and sunglasses.,go to nursery.,1,cause
326,buy a young tree.,put on gloves.,go to garden center.,1,cause
327,purchase seedling of tree.,put on gloves.,go to nursery.,1,cause
329,buy sapling.,put on gloves.,go to garden center.,1,cause
330,acquire sapling.,put on gloves.,go to nursery.,1,cause
331,purchase a sapling and garden gloves.,put on gloves and sunglasses.,go to nursery.,1,cause
332,pick out a sapling that you like.,put on gloves and sunglasses.,go to garden center.,1,cause
333,purchase the tree.,put on gloves.,go to store.,1,cause
335,go buy a tree.,put on gloves and sunglasses.,go to nursery.,1,cause
336,go to store.,acquire sapling.,dig a hole.,0,effect
337,go to nursery.,buy sapling.,dig a hole where you want the tree planted.,0,effect
338,go to nursery.,"purchase seedling, or bush.",dig hole.,0,effect
339,go to nursery.,buy a sapling from nursery.,dig a hole in the ground.,0,effect
340,go to garden center.,buy a small tree at a nursery.,dig a hole large enough to place the tree into.,0,effect
341,go to garden center.,buy a sapling from nursery.,dig hole.,0,effect
342,go to nursery.,buy sapling.,dig hole.,0,effect
343,go to nursery.,buy a small tree at a nursery.,dig hole at least 5 inches bigger then the root ball of tree.start digging.,0,effect
344,go to nursery.,get tree sapling.,dig a hole the same size as the container holding the tree.,0,effect
345,go to nursery.,acquire sapling.,dig a hole.,0,effect
346,go to nursery.,go buy a tree.,dig a hole where you want to plant tree.,0,effect
347,go to nursery.,buy sapling.,dig small hole in dirt.,0,effect
348,go to store.,purchase tree.,dig a hole of appropriate size.,0,effect
349,go to store.,buy some sapling of desired tree.,dig a hole in the ground.,0,effect
350,go to nursery.,buy the tree.,dig hole.,0,effect
351,go to garden center.,get tree seedloing.,dig a hole into the ground.,0,effect
352,go to garden center.,buy a tree.,dig a hole according to the size of the sapling.,0,effect
353,go to garden center.,buy or get a plant sapling .,dig hole at least 5 inches bigger then the root ball of tree.start digging.,0,effect
355,go to nursery.,buy a tree sapling.,dig a hole the same size as the container holding the tree.,0,effect
356,go to garden center.,obtain seedling.,dig a hole of appropriate size.,0,effect
357,go to nursery.,buy tree sapling.,dig a very deep hole with a shovel.,0,effect
358,go to garden center.,purchase a tree to plant.,dig hole in ground about 16 inches deep.,0,effect
359,go to store.,buy a tree.,dig a hole.,0,effect
360,go to nursery.,buy a young tree.,dig a hole deep enough to plant the tree roots.,0,effect
361,go to store.,buy plant.,dig small hole in dirt.,0,effect
362,go to nursery.,buy a young tree.,dig hole.,0,effect
363,go to store.,buy tree sapling.,digging in the ground.,0,effect
364,go to garden center.,buy sapling.,dig hole at least 5 inches bigger then the root ball of tree.start digging.,0,effect
365,go to nursery.,acquire sapling.,dig hole for tree.,0,effect
366,go to store.,pick out a sapling that you like.,dig a hole into the ground.,0,effect
367,go to garden center.,get tree in pot.,dig hole.,0,effect
369,go to nursery.,get the tree and take it out into the yard.,dig hole.,0,effect
370,go to nursery.,get tree sapling.,dig a hole of appropriate size.,0,effect
371,go to nursery.,purchase the tree.,dig hole for tree with shovel.,0,effect
372,go to nursery.,buy a tree sapling.,dig hole.,0,effect
373,go to store.,purchase a tree.,dig hole.,0,effect
374,go to garden center.,get tree.,dig the soil about two fingers deep.,0,effect
375,go to garden center.,buy plant sapling.,dig a hole in the yard.,0,effect
376,go to store.,purchase a tree to plant.,dig hole.,0,effect
377,go to nursery.,buy a young tree.,dig hole for tree with shovel.,0,effect
378,acquire sapling.,dig hole.,go to nursery.,1,cause
379,acquire sapling.,dig a hole large enough to place the tree into.,go to nursery.,1,cause
380,buy some sapling of desired tree.,dig about 6 inches deep or as desired.dig in a circle all around the spot.,go to nursery.,1,cause
381,buy plant sapling.,dig hole.,go to garden center.,1,cause
382,get tree seedloing.,dig hole for tree with shovel.,go to garden center.,1,cause
383,get baby tree to plant.,dig a hole of appropriate size.,go to nursery.,1,cause
384,get tree.,dig a hole deep enough to plant the tree roots.,go to store.,1,cause
385,"purchase seedling, or bush.",dig hole for tree.,go to store.,1,cause
386,buy tree sapling.,dig a hole into the ground.,go to garden center.,1,cause
387,buy tree sapling.,dig hole for tree.,go to garden center.,1,cause
388,get tree sapling.,dig a hole where you want to plant tree.,go to garden center.,1,cause
389,buy tree sapling.,dig small hole in dirt.,go to garden center.,1,cause
390,buy or get a plant sapling .,dig a hole.,go to garden center.,1,cause
391,buy tree sapling.,with small shovel dig hole.,go to garden center.,1,cause
392,acquire sapling.,dig a hole with shovel.,go to store.,1,cause
393,go buy a tree.,dig a hole deep enough to plant the tree roots.,go to garden center.,1,cause
394,go buy a tree.,dig a hole.,go to garden center.,1,cause
395,get tree sapling.,dig hole at least 5 inches bigger then the root ball of tree.start digging.,go to garden center.,1,cause
396,purchase a tree.,dig a hole of appropriate size.,go to nursery.,1,cause
397,obtain seedling.,dig hole big enough for tree to grow.,go to nursery.,1,cause
398,buy a small tree at a nursery.,dig hole.,go to store.,1,cause
399,buy a tree sapling.,"dig a small hole, keep the displaced dirt accessible.",go to nursery.,1,cause
400,get tree seedloing.,dig a hole the same size as the container holding the tree.,go to nursery.,1,cause
401,buy a tree.,go to store.,dig hole.,0,cause
402,get the tree and take it out into the yard.,dig a hole deep and wide enough to accommodate the roots.,go to garden center.,1,cause
403,purchase seedling of tree.,dig hole.,go to nursery.,1,cause
404,go buy a tree.,dig hole.,go to garden center.,1,cause
405,acquire sapling.,dig a hole in the ground.,go to garden center.,1,cause
406,buy the tree.,dig hole.,go to nursery.,1,cause
407,buy plant sapling.,dig a hole.,go to store.,1,cause
408,acquire sapling.,dig a hole of appropriate size.,go to nursery.,1,cause
409,buy a tree.,digging in the ground.,go to nursery.,1,cause
410,buy a tree sapling.,dig a hole with shovel.,go to nursery.,1,cause
411,buy a young tree.,dig hole.,go to garden center.,1,cause
412,get tree in pot.,dig a hole.,go to garden center.,1,cause
413,get tree sapling you want.,dig a hole into the ground.,go to nursery.,1,cause
414,purchase a tree to plant.,dig a hole.,go to garden center.,1,cause
415,buy plant sapling.,with small shovel dig hole.,go to garden center.,1,cause
416,buy sapling.,dig a hole deep enough to plant the tree roots.,go to garden center.,1,cause
417,acquire sapling.,dig hole.,go to garden center.,1,cause
418,buy a young tree.,dig a hole large enough to place the tree into.,go to nursery.,1,cause
419,buy plant sapling.,dig a hole where you want to plant tree.,go to nursery.,1,cause
420,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,purchase the tree.,1,effect
421,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy plant.,1,effect
422,go to garden center.,secure the boundary of the circle with fence of rounded river stones.,get baby tree to plant.,1,effect
423,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy plant sapling.,1,effect
424,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,buy a tree.,1,effect
425,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy tree sapling.,1,effect
426,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy sapling.,1,effect
427,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy or get a plant sapling .,1,effect
428,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,buy sapling.,1,effect
429,go to garden center.,secure the boundary of the circle with fence of rounded river stones.,purchase the tree.,1,effect
430,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,buy a young tree.,1,effect
431,go to store.,secure the boundary of the circle with fence of rounded river stones.,purchase seedling of tree.,1,effect
432,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy a small tree at a nursery.,1,effect
435,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,get tree sapling.,1,effect
436,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,buy the tree.,1,effect
438,go to store.,secure the boundary of the circle with fence of rounded river stones.,purchase tree.,1,effect
439,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy a tree.,1,effect
440,go to store.,secure the boundary of the circle with fence of rounded river stones.,get tree.,1,effect
441,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy a sapling from nursery.,1,effect
443,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,buy tree sapling.,1,effect
444,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,purchase tree.,1,effect
445,go to store.,secure the boundary of the circle with fence of rounded river stones.,buy some sapling of desired tree.,1,effect
447,go to nursery.,secure the boundary of the circle with fence of rounded river stones.,get tree seedloing.,1,effect
